"","HSI #","Site Name","Lattitude","Longitude","Address","City","County","year_site","Class","Site Summary","Investigation/ Cleanup Funding","Icon","year","deaths","population","rate","prev_rate","rate_diff","percent_different","year_to_site"
"1",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2000,2,10131,0.0197413878195637,0.0497363970953944,-0.0299950092758307,-60.3079656499852,2
"2",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2001,8,10133,0.0789499654593901,0.0197413878195637,0.0592085776398264,299.921050034541,1
"3",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2002,8,10101,0.0792000792000792,0.0789499654593901,0.00025011374068909,0.316800316800318,0
"4",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2003,7,10253,0.0682727006729738,0.0792000792000792,-0.0109273785271055,-13.7971813127865,-1
"5",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2004,7,10283,0.068073519400953,0.0682727006729738,-0.000199181272020732,-0.291743654575509,-2
"6",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2005,4,10552,0.0379075056861259,0.068073519400953,-0.0301660137148272,-44.3138741470811,-3
"7",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2006,3,10682,0.0280846283467515,0.0379075056861259,-0.00982287733937431,-25.9127504212694,-4
"8",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2007,9,10968,0.0820568927789934,0.0280846283467515,0.0539722644322419,192.177242888403,-5
"9",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2008,7,10987,0.0637116592336398,0.0820568927789934,-0.0183452335453537,-22.3567246139377,-6
"10",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2009,2,11134,0.0179629962277708,0.0637116592336398,-0.045748663005869,-71.8057943493546,-7
"11",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2010,7,11076,0.063199711087035,0.0179629962277708,0.0452367148592642,251.832791621524,-8
"12",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2011,12,11203,0.107114165848433,0.063199711087035,0.0439144547613984,69.485214419607,-9
"13",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2012,6,11198,0.0535809966065369,0.107114165848433,-0.0535331692418966,-49.9776745847473,-10
"14",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2013,5,11216,0.0445791726105563,0.0535809966065369,-0.00900182399598053,-16.8004041844983,-11
"15",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2014,8,11281,0.0709156989628579,0.0445791726105563,0.0263365263523016,59.0780959134828,-12
