"","HSI #","Site Name","Lattitude","Longitude","Address","City","County","year_site","Class","Site Summary","Investigation/ Cleanup Funding","Icon","Cause","year","deaths","population","rate","prev_rate","rate_diff","percent_different","year_to_site"
"1",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease with Early Onset",2000,0,10131,0,0.0397891176763155,-0.0397891176763155,-100,2
"2",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease with Late Onset",2000,0,10131,0,0,0,NA,2
"3",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Other Alzheimer's Disease",2000,0,10131,0,0,0,NA,2
"4",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease, Unspecified",2000,1,10131,0.00987069390978186,0,0.00987069390978186,Inf,2
"5",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Selected Causes Total",2000,1,10131,0.00987069390978186,0.00987069390978186,0,0,2
"6",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease with Early Onset",2001,0,10133,0,0.00987069390978186,-0.00987069390978186,-100,1
"7",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease with Late Onset",2001,0,10133,0,0,0,NA,1
"8",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Other Alzheimer's Disease",2001,0,10133,0,0,0,NA,1
"9",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Alzheimer's Disease, Unspecified",2001,4,10133,0.0394749827296951,0,0.0394749827296951,Inf,1
"10",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ","Selected Causes Total",2001,4,10133,0.0394749827296951,0.0394749827296951,0,0,1
