TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,LC50DM
TOX-28,4510,"1,3-dinitrooxypropan-2-yl nitrate",O([N+](=O)[O-])C(CO[N+](=O)[O-])CO[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],SNIOPGDIGTZGOP-UHFFFAOYSA-N,3.8510001
TOX-475,8814,"4-(2,4,4-trimethylpentan-2-yl)phenol",Oc1ccc(cc1)C(CC(C)(C)C)(C)C,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY-UHFFFAOYSA-N,6.3600001
TOX-593,448537,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,Oc1ccc(cc1)/C(=C(CC)/c1ccc(O)cc1)/CC,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-ISLYRVAYSA-N,5.3699999
TOX-672,4055,"2-methylnaphthalene-1,4-dione",O=C1c2c(cccc2)C(=O)C=C1C,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,5.5450001
TOX-877,5794,"5-[2-(2-butoxyethoxy)ethoxymethyl]-6-propyl-1,3-benzodioxole",O1c2cc(CCC)c(cc2OC1)COCCOCCOCCCC,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,FIPWRIJSWJWJAI-UHFFFAOYSA-N,5.2909999
TOX-901,702,ethanol,OCC,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.58700001
TOX-913,4004,diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,S(P(=S)(OC)OC)C(CC(OCC)=O)C(OCC)=O,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,7.658
TOX-1045,679,methylsulfinylmethane,S(=O)(C)C,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.495
TOX-1146,7835,2-(chloromethyl)oxirane,ClCC1OC1,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,3.5999999
TOX-1156,4993,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,4.632
TOX-1192,40326,"(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ClC(Cl)=CC1C(C)(C)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,7.902
TOX-1253,3117,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",S(SC(=S)N(CC)CC)C(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,6.3930001
TOX-1273,727,"1,2,3,4,5,6-hexachlorocyclohexane",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,5.211
TOX-1698,323,chromen-2-one,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,4.0339999
TOX-1704,22311,1-methyl-4-prop-1-en-2-ylcyclohexene,C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,XMGQYMWWDOXHJM-UHFFFAOYSA-N,6.6430001
TOX-1705,931,naphthalene,c1ccc2ccccc2c1,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,4.0510001
TOX-1708,7991,pentanoic acid,CCCCC(=O)O,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,3.3559999
TOX-1710,7452,"1,3-dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,WDCYWAQPCXBPJA-UHFFFAOYSA-N,3.592
TOX-1712,8376,"2-methyl-1,3,5-trinitrobenzene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],SPSSULHKWOKEEL-UHFFFAOYSA-N,4.4089999
TOX-1713,1493,"2,4-dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,4.592
TOX-1717,8663,naphthalen-2-ol,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,4.6100001
TOX-1765,2256,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,4.3610001
