Id,Label,date,lat,long,name,node_class,site_class
10001,Dow Chemical - Dalton Site,6/29/94,34.63278,-84.92806,Dow Chemical - Dalton Site,Site,RP
10002,Shaver's Farm,6/29/94,34.79889,-85.3075,Shaver's Farm,Site,RP
10003,CSX Transportation - Savannah (Tremont Road),6/29/94,32.06222,-81.14917,CSX Transportation - Savannah (Tremont Road),Site,RP
10005,G. C. Lee Site / Lee Engr & Const,6/29/94,30.98833,-82.89667,G. C. Lee Site / Lee Engr & Const,Site,RP
10006,Hercules 009 Landfill - NPL Site,6/29/94,31.20944,-81.48806,Hercules 009 Landfill - NPL Site,Site,RP
10008,CSX Transportation - Middleton Derailment,6/29/94,34.09778,-82.76861,CSX Transportation - Middleton Derailment,Site,RP
10009,U.S. Army - Fort Gillem - North Landfill Area,7/1/94,33.62917,-84.33333,U.S. Army - Fort Gillem - North Landfill Area,Site,RP
10012,Fox Manufacturing Company,6/29/94,34.26472,-85.155,Fox Manufacturing Company,Site,RP
10015,Langdale Forest Products Corporation,6/29/94,30.81722,-83.27667,Langdale Forest Products Corporation,Site,RP
10016,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),6/29/94,32.75806,-81.61917,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),Site,RP
10017,Blackman Uhler Chemical Company,6/29/94,33.45083,-81.97917,Blackman Uhler Chemical Company,Site,RP
10018,Atlantic Wood Industries (Former),6/29/94,32.14583,-81.14917,Atlantic Wood Industries (Former),Site,RP
10019,Powersville Landfill - Former NPL Site,6/29/94,32.61,-83.79333,Powersville Landfill - Former NPL Site,Site,L
10020,Henkel Site,6/29/94,34.01528,-85.26611,Henkel Site,Site,RP
10021,Williams-Mesena Road Landfill,6/29/94,33.45806,-82.54306,Williams-Mesena Road Landfill,Site,RP
10022,Baxley Creosoting Company,6/29/94,31.77472,-82.33639,Baxley Creosoting Company,Site,A
