Source,Target,Class,Key,Value,type
10001,pyrene,Soil,Soil,,RELATES_TO
10001,pyrene,Water,Water,,RELATES_TO
10001,carbon tetrachloride,Soil,Soil,,RELATES_TO
10001,carbon tetrachloride,Water,Water,,RELATES_TO
10001,"1,1-dichloroethene",Soil,Soil,,RELATES_TO
10001,"1,1-dichloroethene",Water,Water,,RELATES_TO
10001,chloroform,Soil,Soil,,RELATES_TO
10001,chloroform,Water,Water,,RELATES_TO
10001,ethylbenzene,Soil,Soil,,RELATES_TO
10001,ethylbenzene,Water,Water,,RELATES_TO
10001,chromium,Soil,Soil,,RELATES_TO
10001,toluene,Soil,Soil,,RELATES_TO
10001,toluene,Water,Water,,RELATES_TO
10001,trichloroethene,Soil,Soil,,RELATES_TO
10001,trichloroethene,Water,Water,,RELATES_TO
10001,"1,1,1,2-tetrachloroethane",Water,Water,,RELATES_TO
10001,vinyl chloride,Water,Water,,RELATES_TO
10001,"1,1,2-trichloroethane",Water,Water,,RELATES_TO
10001,"trans-1,2-dichloroethene",Water,Water,,RELATES_TO
10001,dichloromethane,Water,Water,,RELATES_TO
10001,tetrachloroethene,Water,Water,,RELATES_TO
10001,bromoform,Water,Water,,RELATES_TO
10001,styrene,Water,Water,,RELATES_TO
10002,benzonitrile,Soil,Soil,,RELATES_TO
10002,dicamba,Soil,Soil,,RELATES_TO
10002,dicamba,Water,Water,,RELATES_TO
10002,arsenic,Soil,Soil,,RELATES_TO
10002,barium,Soil,Soil,,RELATES_TO
10002,bis(2-ethylhexyl) phthalate,Soil,Soil,,RELATES_TO
10002,toluene,Soil,Soil,,RELATES_TO
10002,dibutyl phthalate,Soil,Soil,,RELATES_TO
10002,lead,Soil,Soil,,RELATES_TO
10002,antimony,Soil,Soil,,RELATES_TO
10002,chromium,Soil,Soil,,RELATES_TO
10002,vinyl chloride,Water,Water,,RELATES_TO
10003,chrysene,Soil,Soil,,RELATES_TO
10003,chrysene,Water,Water,,RELATES_TO
10003,aroclor 1260,Soil,Soil,,RELATES_TO
10003,toluene,Soil,Soil,,RELATES_TO
10003,toluene,Water,Water,,RELATES_TO
10003,phenanthrene,Soil,Soil,,RELATES_TO
10003,phenanthrene,Water,Water,,RELATES_TO
10003,anthracene,Soil,Soil,,RELATES_TO
10003,anthracene,Water,Water,,RELATES_TO
10003,dibutyl phthalate,Soil,Soil,,RELATES_TO
10003,ethylbenzene,Soil,Soil,,RELATES_TO
10003,silver,Soil,Soil,,RELATES_TO
10003,benzene,Soil,Soil,,RELATES_TO
10003,acenaphthene,Soil,Soil,,RELATES_TO
10003,butyl benzyl phthalate,Soil,Soil,,RELATES_TO
10003,butyl benzyl phthalate,Water,Water,,RELATES_TO
10003,fluorene,Soil,Soil,,RELATES_TO
10003,fluorene,Water,Water,,RELATES_TO
10003,barium,Soil,Soil,,RELATES_TO
10003,barium,Water,Water,,RELATES_TO
10003,benzo(k)fluoranthene,Soil,Soil,,RELATES_TO
10003,naphthalene,Soil,Soil,,RELATES_TO
10003,naphthalene,Water,Water,,RELATES_TO
10003,lead,Soil,Soil,,RELATES_TO
10003,lead,Water,Water,,RELATES_TO
10003,pentachlorophenol,Soil,Soil,,RELATES_TO
10003,pentachlorophenol,Water,Water,,RELATES_TO
10003,chromium,Soil,Soil,,RELATES_TO
10003,chromium,Water,Water,,RELATES_TO
10003,fluoranthene,Soil,Soil,,RELATES_TO
10003,fluoranthene,Water,Water,,RELATES_TO
10003,pyrene,Soil,Soil,,RELATES_TO
10003,pyrene,Water,Water,,RELATES_TO
10003,arsenic,Soil,Soil,,RELATES_TO
10003,arsenic,Water,Water,,RELATES_TO
10003,dichloromethane,Soil,Soil,,RELATES_TO
10003,benzo(a)anthracene,Soil,Soil,,RELATES_TO
10003,benzo(a)anthracene,Water,Water,,RELATES_TO
10003,"1,2-dichlorobenzene",Water,Water,,RELATES_TO
10003,"2,4,6-trichlorophenol",Water,Water,,RELATES_TO
10003,"2,4-dichlorophenol",Water,Water,,RELATES_TO
10003,xylenes,Water,Water,,RELATES_TO
10003,heptachlor,Water,Water,,RELATES_TO
10003,"2,3,4,6-tetrachlorophenol",Water,Water,,RELATES_TO
10003,bis(2-ethylhexyl) phthalate,Water,Water,,RELATES_TO
10003,acenaphthylene,Water,Water,,RELATES_TO
10003,phenol,Water,Water,,RELATES_TO
10005,benzo(a)pyrene,Soil,Soil,,RELATES_TO
10005,benzo(ghi)perylene,Soil,Soil,,RELATES_TO
10005,cadmium,Soil,Soil,,RELATES_TO
10005,pyrene,Soil,Soil,,RELATES_TO
10005,"dibenzo(a,h)anthracene",Soil,Soil,,RELATES_TO
10005,phenanthrene,Soil,Soil,,RELATES_TO
10005,selenium,Soil,Soil,,RELATES_TO
10005,"indeno(1,2,3-cd)pyrene",Soil,Soil,,RELATES_TO
10005,benzo(b)fluoranthene,Soil,Soil,,RELATES_TO
10005,barium,Soil,Soil,,RELATES_TO
10005,bis(2-ethylhexyl) phthalate,Soil,Soil,,RELATES_TO
10005,benzo(k)fluoranthene,Soil,Soil,,RELATES_TO
10005,chrysene,Soil,Soil,,RELATES_TO
10005,lead,Soil,Soil,,RELATES_TO
10005,lead,Water,Water,,RELATES_TO
10005,benzo(a)anthracene,Soil,Soil,,RELATES_TO
10005,chromium,Soil,Soil,,RELATES_TO
10005,fluoranthene,Soil,Soil,,RELATES_TO
10005,carbon disulfide,Water,Water,,RELATES_TO
10005,silver,Water,Water,,RELATES_TO
10006,toxaphene,Water,Water,,RELATES_TO
10006,benzene,Water,Water,,RELATES_TO
10008,p-xylene,Water,Water,,RELATES_TO
10008,nitrobenzene,Water,Water,,RELATES_TO
10008,ethylbenzene,Water,Water,,RELATES_TO
10008,xylenes,Water,Water,,RELATES_TO
10008,toluene,Water,Water,,RELATES_TO
10008,benzene,Water,Water,,RELATES_TO
10009,chloroform,Soil,Soil,,RELATES_TO
10009,chloroform,Water,Water,,RELATES_TO
10009,arsenic,Soil,Soil,,RELATES_TO
10009,arsenic,Water,Water,,RELATES_TO
10009,lead,Soil,Soil,,RELATES_TO
10009,lead,Water,Water,,RELATES_TO
10009,trichloroethene,Soil,Soil,,RELATES_TO
10009,trichloroethene,Water,Water,,RELATES_TO
10009,mercury,Water,Water,,RELATES_TO
10009,trichlorofluoromethane,Water,Water,,RELATES_TO
10009,beryllium,Water,Water,,RELATES_TO
10009,"1,2-dichloropropane",Water,Water,,RELATES_TO
10009,carbon tetrachloride,Water,Water,,RELATES_TO
10009,alpha-benzenehexachloride,Water,Water,,RELATES_TO
10009,chrysene,Water,Water,,RELATES_TO
10009,"1,2-dichloroethane",Water,Water,,RELATES_TO
10009,endosulfan (alpha),Water,Water,,RELATES_TO
10009,toluene,Water,Water,,RELATES_TO
10009,nickel,Water,Water,,RELATES_TO
10009,"1,1,1-trichloroethane",Water,Water,,RELATES_TO
10009,endrin,Water,Water,,RELATES_TO
10009,dieldrin,Water,Water,,RELATES_TO
10009,aldrin,Water,Water,,RELATES_TO
10009,bis(2-ethylhexyl) phthalate,Water,Water,,RELATES_TO
10009,p-dichlorobenzene,Water,Water,,RELATES_TO
10009,"1,1-dichloroethene",Water,Water,,RELATES_TO
10009,dibutyl phthalate,Water,Water,,RELATES_TO
10009,"1,1-dichloroethane",Water,Water,,RELATES_TO
10009,heptachlor epoxide,Water,Water,,RELATES_TO
10009,dde,Water,Water,,RELATES_TO
10009,methyl chloride,Water,Water,,RELATES_TO
10009,benzene,Water,Water,,RELATES_TO
10009,vinyl chloride,Water,Water,,RELATES_TO
10009,heptachlor,Water,Water,,RELATES_TO
10009,barium,Water,Water,,RELATES_TO
10009,ddd,Water,Water,,RELATES_TO
10009,"indeno(1,2,3-cd)pyrene",Water,Water,,RELATES_TO
10009,delta-benzenehexachloride,Water,Water,,RELATES_TO
10009,tetrachloroethene,Water,Water,,RELATES_TO
10009,"1,1,2,2-tetrachloroethane",Water,Water,,RELATES_TO
10009,naphthalene,Water,Water,,RELATES_TO
10009,thallium,Water,Water,,RELATES_TO
10009,chromium,Water,Water,,RELATES_TO
10009,chlorobenzene,Water,Water,,RELATES_TO
10009,xylenes,Water,Water,,RELATES_TO
10009,selenium,Water,Water,,RELATES_TO
10009,antimony,Water,Water,,RELATES_TO
10009,pcbs,Water,Water,,RELATES_TO
10009,cadmium,Water,Water,,RELATES_TO
10009,dichlorobromomethane,Water,Water,,RELATES_TO
10009,"trans-1,2-dichloroethene",Water,Water,,RELATES_TO
10009,dichloromethane,Water,Water,,RELATES_TO
10009,lindane,Water,Water,,RELATES_TO
10009,toxaphene,Water,Water,,RELATES_TO
10012,benzo(a)pyrene,Soil,Soil,,RELATES_TO
10012,arsenic,Soil,Soil,,RELATES_TO
10012,arsenic,Water,Water,,RELATES_TO
10012,barium,Soil,Soil,,RELATES_TO
10012,barium,Water,Water,,RELATES_TO
10012,benzo(k)fluoranthene,Soil,Soil,,RELATES_TO
10012,bis(2-ethylhexyl) phthalate,Soil,Soil,,RELATES_TO
10012,bis(2-ethylhexyl) phthalate,Water,Water,,RELATES_TO
10012,lead,Soil,Soil,,RELATES_TO
10012,lead,Water,Water,,RELATES_TO
10012,nickel,Soil,Soil,,RELATES_TO
10012,nickel,Water,Water,,RELATES_TO
10012,zinc,Water,Water,,RELATES_TO
10015,benzo(a)pyrene,Soil,Soil,,RELATES_TO
10015,benzo(a)pyrene,Water,Water,,RELATES_TO
10015,acenaphthene,Water,Water,,RELATES_TO
10015,2-chlorophenol,Water,Water,,RELATES_TO
10015,benzo(a)anthracene,Water,Water,,RELATES_TO
10015,"dibenzo(a,h)anthracene",Water,Water,,RELATES_TO
10015,"2,4,6-trichlorophenol",Water,Water,,RELATES_TO
10015,"2,4-dinitrophenol",Water,Water,,RELATES_TO
10015,benzo(b)fluoranthene,Water,Water,,RELATES_TO
10015,pentachlorophenol,Water,Water,,RELATES_TO
10015,fluoranthene,Water,Water,,RELATES_TO
10015,phenol,Water,Water,,RELATES_TO
10015,"2,4-dimethylphenol",Water,Water,,RELATES_TO
10015,"2,3,4,6-tetrachlorophenol",Water,Water,,RELATES_TO
10016,mercury,Water,Water,,RELATES_TO
10016,trichlorofluoromethane,Water,Water,,RELATES_TO
10016,zinc,Water,Water,,RELATES_TO
10016,chloroform,Water,Water,,RELATES_TO
10016,methyl ethyl ketone,Water,Water,,RELATES_TO
10016,nickel,Water,Water,,RELATES_TO
10016,trichloroethene,Water,Water,,RELATES_TO
10016,"1,1,1-trichloroethane",Water,Water,,RELATES_TO
10016,"1,1-dichloroethene",Water,Water,,RELATES_TO
10016,"1,1-dichloroethane",Water,Water,,RELATES_TO
10016,cyanides (soluble salts and complexes) n.o.s.,Water,Water,,RELATES_TO
10016,"2,4-dinitro sec butylphenol",Water,Water,,RELATES_TO
10016,silver,Water,Water,,RELATES_TO
10016,p-nitrophenol,Water,Water,,RELATES_TO
10016,barium,Water,Water,,RELATES_TO
