HSI #,Site Name,Lattitude,Longitude,Address,City,County,List Date,Class,Site Summary,Investigation/ Cleanup Funding,Icon
10001,Dow Chemical - Dalton Site,34.63278,-84.92806,"1467 Prosser Dr., SE",Dalton,Whitfield,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10001/download,RP,small_red
10002,Shaver's Farm,34.79889,-85.30750,651 Shaver Farm Road,Chickamauga,Walker,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10002/download,RP,small_red
10003,CSX Transportation - Savannah (Tremont Road),32.06222,-81.14917,3000 Tremont Rd.,Savannah,Chatham,6/29/94,V,https://epd.georgia.gov/document/hsi/23-10003/download,RP,small_red
10005,G. C. Lee Site / Lee Engr & Const,30.98833,-82.89667,Lutz Farm Road,Dupont,Clinch,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10005/download,RP,small_red
10006,Hercules 009 Landfill - NPL Site,31.20944,-81.48806,Granville Nix Rd and Ga Hwy 25 (Golden Isles Pkwy),Brunswick,Glynn,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10006/download,RP,small_red
10008,CSX Transportation - Middleton Derailment,34.09778,-82.76861,Intersection of County Roads 296 & 304,Middleton,Elbert,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10008/download,RP,small_red
10009,U.S. Army - Fort Gillem - North Landfill Area,33.62917,-84.33333,North Boundary Road & North A Avenue,Forest Park,Clayton,7/1/94,IV,https://epd.georgia.gov/document/pdf/23-10009/download,RP,small_red
10012,Fox Manufacturing Company,34.26472,-85.15500,100 East Callahan St.,Rome,Floyd,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10012/download,RP,small_red
10015,Langdale Forest Products Corporation,30.81722,-83.27667,1202 Madison Highway,Valdosta,Lowndes,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10015/download,RP,small_red
10016,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),32.75806,-81.61917,400 Friendship Road,Sylvania,Screven,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10016/download,RP,small_red
10017,Blackman Uhler Chemical Company,33.45083,-81.97917,1010 Glass Factory Avenue,Augusta,Richmond,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10017/download,RP,small_red
10018,Atlantic Wood Industries (Former),32.14583,-81.14917,202 Oxnard Drive,Port Wentworth,Chatham,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10018/download,RP,small_red
