"","HSI #","Site Name","Lattitude","Longitude","Address","City","County","year_site","Class","Site Summary","Investigation/ Cleanup Funding","Icon","year","rate","population","prev_rate","rate_diff","percent_different","year_to_site"
"1",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2001,0,10133,NA,NA,NA,1
"2",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2005,29.6,10552,0,29.6,Inf,-3
"3",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2007,0,10968,29.6,-29.6,-100,-5
"4",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2017,0,11319,0,0,NA,-15
"5",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2018,0,11185,0,0,NA,-16
"6",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2019,0,11164,0,0,NA,-17
"7",10720,"Alma - Radio Station Road MSWLF",31.5202777777778,-82.4347222222222,"Radio Station Road","Alma","Bacon",2002,"IV","https://epd.georgia.gov/document/pdf/23-10720/download","L","small_green ",2021,0,11079,0,0,NA,-19
"8",10643,"Berrien County Landfill",31.1277777777778,-83.2386111111111,"CR28 & CR48","Nashville","Berrien",2001,"IV","https://epd.georgia.gov/document/pdf/23-10643/download","L","small_green ",2000,0,16268,0,0,NA,1
"9",10643,"Berrien County Landfill",31.1277777777778,-83.2386111111111,"CR28 & CR48","Nashville","Berrien",2001,"IV","https://epd.georgia.gov/document/pdf/23-10643/download","L","small_green ",2008,0,18863,0,0,NA,-7
"10",10645,"Quitman - SR 333 Landfill",30.7519444444444,-83.5475,"SR - 333","Quitman","Brooks",2001,"IV","https://epd.georgia.gov/document/pdf/23-10645/download","L","small_green ",2001,0,16307,0,0,NA,0
"11",10645,"Quitman - SR 333 Landfill",30.7519444444444,-83.5475,"SR - 333","Quitman","Brooks",2001,"IV","https://epd.georgia.gov/document/pdf/23-10645/download","L","small_green ",2009,0,16375,0,0,NA,-8
"12",10645,"Quitman - SR 333 Landfill",30.7519444444444,-83.5475,"SR - 333","Quitman","Brooks",2001,"IV","https://epd.georgia.gov/document/pdf/23-10645/download","L","small_green ",2010,23.8,16199,0,23.8,Inf,-9
"13",10646,"Bryan County - US 280 Mill Creek MSWLF",32.1533333333333,-81.5097222222222,"7392 E. Highway 280","Ellabell","Bryan",2001,"IV","https://epd.georgia.gov/document/pdf/23-10646/download","L","small_green ",2005,0,26557,23.8,-23.8,-100,-4
"14",10646,"Bryan County - US 280 Mill Creek MSWLF",32.1533333333333,-81.5097222222222,"7392 E. Highway 280","Ellabell","Bryan",2001,"IV","https://epd.georgia.gov/document/pdf/23-10646/download","L","small_green ",2013,10.4,33157,0,10.4,Inf,-12
"15",10646,"Bryan County - US 280 Mill Creek MSWLF",32.1533333333333,-81.5097222222222,"7392 E. Highway 280","Ellabell","Bryan",2001,"IV","https://epd.georgia.gov/document/pdf/23-10646/download","L","small_green ",2022,15.8,48225,10.4,5.4,51.9230769230769,-21
"16",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2003,0,6286,15.8,-15.8,-100,4
"17",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2004,0,6306,0,0,NA,3
"18",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2007,0,6269,0,0,NA,0
"19",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2008,0,6456,0,0,NA,-1
"20",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2010,0,6697,0,0,NA,-3
"21",10854,"Calhoun County SR 45 Morgan (SL)",31.535,-84.65,"25753 Highway 45","Morgan","Calhoun",2007,"IV","https://epd.georgia.gov/document/pdf/23-10854/download","L","small_green ",2011,0,6740,0,0,NA,-4
