,UNEMPLOYED
,
,
,
"Barrow County, Georgia!!Estimate","2,352"
"Barrow County, Georgia!!Percent",4.30%
"Bartow County, Georgia!!Estimate","3,679"
"Bartow County, Georgia!!Percent",4.60%
"Bibb County, Georgia!!Estimate","10,360"
"Bibb County, Georgia!!Percent",8.70%
"Bulloch County, Georgia!!Estimate","3,495"
"Bulloch County, Georgia!!Percent",6.00%
"Carroll County, Georgia!!Estimate","6,093"
"Carroll County, Georgia!!Percent",6.90%
"Chatham County, Georgia!!Estimate","12,921"
"Chatham County, Georgia!!Percent",5.70%
"Cherokee County, Georgia!!Estimate","6,980"
"Cherokee County, Georgia!!Percent",3.90%
"Clarke County, Georgia!!Estimate","4,934"
"Clarke County, Georgia!!Percent",4.80%
"Clayton County, Georgia!!Estimate","14,007"
"Clayton County, Georgia!!Percent",7.00%
"Cobb County, Georgia!!Estimate","27,247"
"Cobb County, Georgia!!Percent",4.80%
"Columbia County, Georgia!!Estimate","3,852"
"Columbia County, Georgia!!Percent",3.60%
"Coweta County, Georgia!!Estimate","4,196"
"Coweta County, Georgia!!Percent",4.00%
"DeKalb County, Georgia!!Estimate","35,776"
"DeKalb County, Georgia!!Percent",6.30%
"Dougherty County, Georgia!!Estimate","7,195"
"Dougherty County, Georgia!!Percent",10.00%
"Douglas County, Georgia!!Estimate","5,758"
"Douglas County, Georgia!!Percent",5.40%
"Fayette County, Georgia!!Estimate","4,171"
"Fayette County, Georgia!!Percent",4.80%
"Floyd County, Georgia!!Estimate","3,509"
"Floyd County, Georgia!!Percent",4.60%
"Forsyth County, Georgia!!Estimate","4,980"
"Forsyth County, Georgia!!Percent",3.30%
"Fulton County, Georgia!!Estimate","45,431"
"Fulton County, Georgia!!Percent",5.80%
"Glynn County, Georgia!!Estimate","2,325"
"Glynn County, Georgia!!Percent",3.60%
"Gwinnett County, Georgia!!Estimate","28,037"
"Gwinnett County, Georgia!!Percent",4.20%
"Hall County, Georgia!!Estimate","3,837"
"Hall County, Georgia!!Percent",2.60%
"Henry County, Georgia!!Estimate","10,117"
"Henry County, Georgia!!Percent",6.20%
"Houston County, Georgia!!Estimate","4,833"
"Houston County, Georgia!!Percent",4.20%
"Lowndes County, Georgia!!Estimate","6,272"
"Lowndes County, Georgia!!Percent",7.10%
"Muscogee County, Georgia!!Estimate","8,763"
"Muscogee County, Georgia!!Percent",5.60%
"Newton County, Georgia!!Estimate","4,900"
"Newton County, Georgia!!Percent",6.20%
"Paulding County, Georgia!!Estimate","3,872"
"Paulding County, Georgia!!Percent",3.50%
"Richmond County, Georgia!!Estimate","12,474"
"Richmond County, Georgia!!Percent",7.80%
"Rockdale County, Georgia!!Estimate","4,176"
"Rockdale County, Georgia!!Percent",6.10%
"Troup County, Georgia!!Estimate","3,202"
"Troup County, Georgia!!Percent",5.90%
"Walker County, Georgia!!Estimate","2,993"
"Walker County, Georgia!!Percent",5.50%
"Walton County, Georgia!!Estimate","4,831"
"Walton County, Georgia!!Percent",7.20%
"Whitfield County, Georgia!!Estimate","4,415"
"Whitfield County, Georgia!!Percent",5.60%
