,UNEMPLOYMENT
,
,
,
"Barrow County, Georgia!!Estimate","2,162"
"Barrow County, Georgia!!Percent",3.50%
"Bartow County, Georgia!!Estimate","3,015"
"Bartow County, Georgia!!Percent",3.60%
"Bibb County, Georgia!!Estimate","6,032"
"Bibb County, Georgia!!Percent",5.00%
"Bulloch County, Georgia!!Estimate","3,690"
"Bulloch County, Georgia!!Percent",5.80%
"Carroll County, Georgia!!Estimate","2,617"
"Carroll County, Georgia!!Percent",2.80%
"Chatham County, Georgia!!Estimate","10,620"
"Chatham County, Georgia!!Percent",4.50%
"Cherokee County, Georgia!!Estimate","5,362"
"Cherokee County, Georgia!!Percent",2.70%
"Clarke County, Georgia!!Estimate","3,356"
"Clarke County, Georgia!!Percent",3.10%
"Clayton County, Georgia!!Estimate","8,801"
"Clayton County, Georgia!!Percent",4.00%
"Cobb County, Georgia!!Estimate","15,641"
"Cobb County, Georgia!!Percent",2.60%
"Columbia County, Georgia!!Estimate","3,780"
"Columbia County, Georgia!!Percent",3.20%
"Coweta County, Georgia!!Estimate","1,929"
"Coweta County, Georgia!!Percent",1.70%
"DeKalb County, Georgia!!Estimate","22,743"
"DeKalb County, Georgia!!Percent",3.80%
"Dougherty County, Georgia!!Estimate","4,633"
"Dougherty County, Georgia!!Percent",6.40%
"Douglas County, Georgia!!Estimate","3,572"
"Douglas County, Georgia!!Percent",3.20%
"Fayette County, Georgia!!Estimate","1,809"
"Fayette County, Georgia!!Percent",2.00%
"Floyd County, Georgia!!Estimate","1,161"
"Floyd County, Georgia!!Percent",1.50%
"Forsyth County, Georgia!!Estimate","3,180"
"Forsyth County, Georgia!!Percent",1.80%
"Fulton County, Georgia!!Estimate","25,532"
"Fulton County, Georgia!!Percent",3.00%
"Glynn County, Georgia!!Estimate","1,428"
"Glynn County, Georgia!!Percent",2.10%
"Gwinnett County, Georgia!!Estimate","17,302"
"Gwinnett County, Georgia!!Percent",2.40%
"Hall County, Georgia!!Estimate","3,184"
"Hall County, Georgia!!Percent",2.00%
"Henry County, Georgia!!Estimate","4,951"
"Henry County, Georgia!!Percent",2.80%
"Houston County, Georgia!!Estimate","3,897"
"Houston County, Georgia!!Percent",3.20%
"Lowndes County, Georgia!!Estimate","2,045"
"Lowndes County, Georgia!!Percent",2.20%
"Muscogee County, Georgia!!Estimate","8,382"
"Muscogee County, Georgia!!Percent",5.60%
"Newton County, Georgia!!Estimate","2,456"
"Newton County, Georgia!!Percent",2.90%
"Paulding County, Georgia!!Estimate","3,165"
"Paulding County, Georgia!!Percent",2.50%
"Richmond County, Georgia!!Estimate","7,023"
"Richmond County, Georgia!!Percent",4.40%
"Rockdale County, Georgia!!Estimate","2,183"
"Rockdale County, Georgia!!Percent",3.10%
"Troup County, Georgia!!Estimate","1,445"
"Troup County, Georgia!!Percent",2.60%
"Walker County, Georgia!!Estimate","1,872"
"Walker County, Georgia!!Percent",3.30%
"Walton County, Georgia!!Estimate","1,128"
"Walton County, Georgia!!Percent",1.50%
"Whitfield County, Georgia!!Estimate","2,452"
"Whitfield County, Georgia!!Percent",3.00%
