"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","301,535,021","±22,099","46,215,956","±240,306","15.3%","±0.1","9,446,906","±4,877","1,688,932","±36,955","17.9%","±0.4","69,480","±305","7,012","±2,296","10.1%","±3.3","98,875","±994","12,594","±3,714","12.7%","±3.8","146,480","±2,664","38,356","±4,794","26.2%","±3.2","69,420","±1,873","24,471","±3,067","35.3%","±4.2","107,021","±2,498","20,231","±3,345","18.9%","±3.1","253,999","±8,874","48,909","±6,365","19.3%","±2.3","214,250","±1,100","17,981","±3,796","8.4%","±1.8","103,905","±4,396","38,156","±5,455","36.7%","±4.7","254,002","±1,739","58,866","±8,378","23.2%","±3.3","684,334","±1,933","94,831","±9,602","13.9%","±1.4","123,534","±1,701","12,577","±3,742","10.2%","±3.0","127,402","±740","13,282","±3,365","10.4%","±2.6","680,289","±3,259","130,403","±11,259","19.2%","±1.7","90,367","±2,321","32,873","±4,025","36.4%","±4.4","130,585","±1,992","15,212","±3,570","11.6%","±2.7","105,902","±1,184","7,343","±2,006","6.9%","±1.9","92,531","±2,421","16,605","±3,621","17.9%","±3.9","175,112","±1,407","13,392","±4,198","7.6%","±2.4","894,461","±6,190","153,623","±11,775","17.2%","±1.3","78,859","±735","14,713","±4,095","18.7%","±5.2","802,317","±2,427","109,641","±12,316","13.7%","±1.5","174,950","±1,576","32,337","±5,332","18.5%","±3.0","203,052","±1,373","21,273","±4,544","10.5%","±2.2","138,949","±1,289","19,870","±4,176","14.3%","±3.0","104,592","±2,579","24,089","±3,891","23.0%","±3.6","173,415","±4,953","35,806","±4,361","20.6%","±2.4","98,480","±1,942","14,513","±3,708","14.7%","±3.8","142,049","±811","11,669","±3,085","8.2%","±2.2","191,549","±3,592","48,505","±5,877","25.3%","±3.0","85,015","±520","11,451","±3,494","13.5%","±4.1","65,625","±1,506","13,791","±2,799","21.0%","±4.2","67,897","±950","10,754","±2,710","15.8%","±4.0","83,317","±756","12,522","±3,687","15.0%","±4.4","99,650","±3,530","21,913","±3,866","22.0%","±4.0"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","73,024,577","±35,260","15,749,129","±127,734","21.6%","±0.2","2,457,873","±6,283","610,722","±16,624","24.8%","±0.7","19,125","±1,251","2,022","±1,035","10.6%","±5.4","27,266","±1,096","3,713","±1,740","13.6%","±6.3","38,691","±1,142","15,655","±2,455","40.5%","±6.5","14,529","±327","5,336","±1,543","36.7%","±10.5","27,176","±878","6,173","±1,582","22.7%","±5.8","59,283","±517","15,905","±2,817","26.8%","±4.8","58,899","±220","6,419","±2,319","10.9%","±3.9","20,064","±680","8,207","±1,966","40.9%","±9.8","73,845","±821","26,474","±4,295","35.9%","±5.8","176,383","±591","37,074","±5,423","21.0%","±3.1","33,735","±276","3,642","±1,574","10.8%","±4.7","34,856","±432","5,308","±1,940","15.2%","±5.6","163,207","±1,376","42,964","±4,978","26.3%","±3.0","24,166","±569","12,721","±2,104","52.6%","±8.4","36,240","±1,681","6,165","±2,030","17.0%","±5.6","28,140","±61","3,299","±1,096","11.7%","±3.9","23,102","±252","4,743","±1,620","20.5%","±7.0","53,136","±573","4,962","±2,141","9.3%","±4.0","218,174","±1,060","50,809","±6,041","23.3%","±2.7","18,910","±216","6,346","±2,248","33.6%","±11.9","232,237","±1,826","46,628","±7,168","20.1%","±3.1","48,937","±844","12,982","±2,733","26.5%","±5.6","59,107","±791","7,480","±2,363","12.7%","±4.0","37,015","±476","8,450","±2,381","22.8%","±6.4","26,685","±345","7,899","±1,990","29.6%","±7.5","47,083","±1,306","13,620","±2,527","28.9%","±5.3","28,569","±212","4,759","±1,655","16.7%","±5.8","42,844","±342","4,413","±1,701","10.3%","±4.0","48,044","±800","19,393","±3,098","40.4%","±6.2","22,743","±700","5,456","±2,135","24.0%","±9.4","17,442","±339","5,240","±1,500","30.0%","±8.6","16,331","±566","3,590","±1,110","22.0%","±6.9","22,305","±367","4,897","±2,298","22.0%","±10.3","28,484","±931","8,415","±1,933","29.5%","±7.0"
"        Related children under 18 years","72,695,368","±37,253","15,446,037","±126,159","21.2%","±0.2","2,448,880","±6,533","602,400","±16,404","24.6%","±0.7","19,125","±1,251","2,022","±1,035","10.6%","±5.4","27,165","±1,106","3,612","±1,748","13.3%","±6.4","38,608","±1,148","15,572","±2,464","40.3%","±6.5","14,391","±374","5,198","±1,567","36.1%","±10.7","27,176","±878","6,173","±1,582","22.7%","±5.8","59,003","±594","15,625","±2,829","26.5%","±4.8","58,802","±248","6,371","±2,313","10.8%","±3.9","20,064","±680","8,207","±1,966","40.9%","±9.8","73,563","±891","26,192","±4,308","35.6%","±5.8","176,162","±668","36,853","±5,431","20.9%","±3.1","33,590","±389","3,497","±1,589","10.4%","±4.7","34,646","±554","5,098","±1,927","14.7%","±5.6","162,713","±1,488","42,524","±4,983","26.1%","±3.0","24,079","±595","12,634","±2,108","52.5%","±8.4","35,700","±1,813","5,625","±2,068","15.8%","±5.7","27,977","±220","3,159","±1,076","11.3%","±3.8","22,924","±284","4,621","±1,622","20.2%","±7.1","53,042","±661","4,868","±2,150","9.2%","±4.0","217,477","±1,151","50,315","±6,035","23.1%","±2.7","18,910","±216","6,346","±2,248","33.6%","±11.9","231,525","±1,915","45,916","±7,116","19.8%","±3.1","48,831","±862","12,876","±2,732","26.4%","±5.6","59,107","±791","7,480","±2,363","12.7%","±4.0","36,891","±561","8,326","±2,405","22.6%","±6.5","26,528","±424","7,742","±1,954","29.2%","±7.5","47,083","±1,306","13,620","±2,527","28.9%","±5.3","28,569","±212","4,759","±1,655","16.7%","±5.8","42,662","±390","4,231","±1,656","9.9%","±3.9","48,012","±800","19,361","±3,097","40.3%","±6.2","22,415","±831","5,128","±2,107","22.9%","±9.4","17,442","±339","5,240","±1,500","30.0%","±8.6","16,331","±566","3,590","±1,110","22.0%","±6.9","22,305","±367","4,897","±2,298","22.0%","±10.3","28,281","±966","8,212","±1,927","29.0%","±7.0"
"    18 to 64 years","189,378,803","±28,354","26,929,254","±127,026","14.2%","±0.1","5,985,505","±5,125","971,226","±24,660","16.2%","±0.4","44,501","±1,544","4,428","±1,587","10.0%","±3.5","61,377","±1,421","7,248","±2,032","11.8%","±3.3","88,581","±2,685","20,150","±2,970","22.7%","±3.3","48,741","±1,989","18,275","±2,418","37.5%","±4.4","68,212","±2,540","12,675","±2,162","18.6%","±3.1","164,297","±7,622","30,334","±5,127","18.5%","±2.6","135,648","±1,138","10,092","±2,023","7.4%","±1.5","74,001","±4,188","28,867","±4,443","39.0%","±4.8","163,122","±1,480","29,460","±4,601","18.1%","±2.8","449,133","±1,744","53,356","±5,210","11.9%","±1.2","78,434","±510","8,411","±2,383","10.7%","±3.0","79,806","±1,151","7,393","±1,798","9.3%","±2.2","456,014","±3,078","78,051","±7,393","17.1%","±1.6","54,732","±2,272","18,563","±2,584","33.9%","±4.5","83,646","±946","7,791","±1,965","9.3%","±2.4","65,095","±971","3,527","±1,077","5.4%","±1.6","56,594","±2,284","10,270","±2,293","18.1%","±4.0","106,081","±1,181","8,094","±2,421","7.6%","±2.3","593,921","±6,091","93,454","±7,705","15.7%","±1.3","47,613","±832","7,572","±2,315","15.9%","±4.8","515,649","±1,167","59,842","±6,349","11.6%","±1.2","105,475","±1,405","18,073","±3,047","17.1%","±2.9","127,312","±891","12,157","±2,559","9.5%","±2.0","88,071","±992","10,591","±2,284","12.0%","±2.5","67,691","±2,531","14,780","±2,593","21.8%","±3.5","104,613","±5,162","18,822","±2,493","18.0%","±2.1","60,560","±1,799","9,371","±2,460","15.5%","±4.0","89,398","±414","6,851","±1,691","7.7%","±1.9","121,515","±3,532","26,274","±3,770","21.6%","±3.1","53,197","±523","5,577","±1,739","10.5%","±3.3","40,353","±1,338","7,620","±1,700","18.9%","±4.2","41,382","±696","6,822","±1,839","16.5%","±4.4","51,059","±446","6,413","±1,770","12.6%","±3.5","60,470","±3,318","12,332","±2,322","20.4%","±4.0"
"    65 years and over","39,131,641","±22,419","3,537,573","±31,685","9.0%","±0.1","1,003,528","±4,207","106,984","±5,618","10.7%","±0.6","5,854","±986","562","±383","9.6%","±6.6","10,232","±695","1,633","±898","16.0%","±8.7","19,208","±458","2,551","±789","13.3%","±4.1","6,150","±486","860","±497","14.0%","±7.8","11,633","±543","1,383","±652","11.9%","±5.5","30,419","±3,995","2,670","±894","8.8%","±2.5","19,703","±681","1,470","±664","7.5%","±3.3","9,840","±570","1,082","±510","11.0%","±5.2","17,035","±913","2,932","±1,200","17.2%","±6.9","58,818","±995","4,401","±1,344","7.5%","±2.3","11,365","±1,686","524","±428","4.6%","±3.8","12,740","±755","581","±361","4.6%","±2.7","61,068","±845","9,388","±1,674","15.4%","±2.7","11,469","±446","1,589","±568","13.9%","±4.8","10,699","±829","1,256","±553","11.7%","±4.9","12,667","±737","517","±353","4.1%","±2.8","12,835","±673","1,592","±607","12.4%","±4.6","15,895","±869","336","±320","2.1%","±2.0","82,366","±605","9,360","±1,737","11.4%","±2.1","12,336","±472","795","±489","6.4%","±4.0","54,431","±687","3,171","±862","5.8%","±1.6","20,538","±1,147","1,282","±620","6.2%","±3.0","16,633","±823","1,636","±773","9.8%","±4.6","13,863","±735","829","±420","6.0%","±3.0","10,216","±462","1,410","±493","13.8%","±4.7","21,719","±694","3,364","±791","15.5%","±3.6","9,351","±682","383","±262","4.1%","±2.8","9,807","±752","405","±320","4.1%","±3.2","21,990","±615","2,838","±838","12.9%","±3.8","9,075","±707","418","±288","4.6%","±3.1","7,830","±621","931","±432","11.9%","±5.2","10,184","±594","342","±311","3.4%","±3.0","9,953","±769","1,212","±550","12.2%","±5.0","10,696","±769","1,166","±699","10.9%","±6.5"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","147,399,161","±40,269","20,850,219","±129,315","14.1%","±0.1","4,577,981","±9,735","757,482","±20,171","16.5%","±0.4","34,575","±1,666","3,178","±1,465","9.2%","±4.2","47,887","±1,476","5,339","±1,848","11.1%","±3.8","69,106","±1,844","16,078","±2,786","23.3%","±3.8","33,929","±1,096","11,995","±1,518","35.4%","±4.2","51,886","±1,724","8,602","±2,012","16.6%","±3.8","123,576","±2,723","21,183","±3,459","17.1%","±2.8","105,594","±1,179","7,992","±2,092","7.6%","±2.0","50,835","±3,051","18,272","±3,357","35.9%","±5.8","120,355","±1,625","26,760","±4,494","22.2%","±3.7","331,347","±1,481","42,090","±4,795","12.7%","±1.4","60,612","±872","5,250","±1,811","8.7%","±3.0","62,689","±1,233","5,352","±1,794","8.5%","±2.8","325,595","±1,722","60,823","±6,600","18.7%","±2.0","40,688","±2,404","14,423","±2,265","35.4%","±5.3","61,501","±1,737","7,445","±2,012","12.1%","±3.2","51,441","±1,133","2,928","±895","5.7%","±1.8","45,353","±749","7,593","±1,888","16.7%","±4.1","86,538","±1,055","6,380","±2,023","7.4%","±2.3","433,710","±4,462","65,501","±6,141","15.1%","±1.4","37,811","±1,458","6,296","±2,348","16.7%","±6.0","394,559","±1,920","54,782","±6,935","13.9%","±1.7","85,203","±1,509","15,056","±3,092","17.7%","±3.6","98,205","±1,492","10,545","±2,599","10.7%","±2.6","67,979","±914","8,551","±2,417","12.6%","±3.5","50,584","±1,720","10,049","±1,939","19.9%","±3.8","76,967","±4,178","13,293","±1,915","17.3%","±2.4","47,970","±1,074","6,756","±1,909","14.1%","±3.9","69,760","±762","5,851","±2,057","8.4%","±2.9","90,371","±2,620","23,092","±3,309","25.6%","±3.6","41,220","±1,073","6,073","±1,953","14.7%","±4.6","31,586","±1,606","6,537","±1,430","20.7%","±4.4","33,639","±938","4,511","±1,545","13.4%","±4.6","39,727","±854","5,027","±1,461","12.7%","±3.7","49,682","±1,996","10,005","±1,827","20.1%","±3.9"
"    Female","154,135,860","±41,539","25,365,737","±128,604","16.5%","±0.1","4,868,925","±9,936","931,450","±22,532","19.1%","±0.5","34,905","±1,685","3,834","±1,169","11.0%","±3.3","50,988","±1,324","7,255","±2,335","14.2%","±4.5","77,374","±2,477","22,278","±2,980","28.8%","±3.8","35,491","±1,061","12,476","±2,047","35.2%","±5.6","55,135","±1,197","11,629","±2,001","21.1%","±3.6","130,423","±7,659","27,726","±4,526","21.3%","±2.8","108,656","±669","9,989","±2,218","9.2%","±2.0","53,070","±3,620","19,884","±3,595","37.5%","±5.5","133,647","±932","32,106","±4,688","24.0%","±3.5","352,987","±850","52,741","±6,040","14.9%","±1.7","62,922","±1,257","7,327","±2,338","11.6%","±3.7","64,713","±1,144","7,930","±2,126","12.3%","±3.3","354,694","±2,416","69,580","±6,289","19.6%","±1.8","49,679","±2,225","18,450","±2,431","37.1%","±4.5","69,084","±1,591","7,767","±1,982","11.2%","±2.8","54,461","±858","4,415","±1,382","8.1%","±2.5","47,178","±2,400","9,012","±2,100","19.1%","±4.4","88,574","±1,054","7,012","±2,813","7.9%","±3.2","460,751","±5,267","88,122","±7,539","19.1%","±1.6","41,048","±1,288","8,417","±2,488","20.5%","±6.0","407,758","±1,172","54,859","±6,320","13.5%","±1.5","89,747","±1,217","17,281","±2,905","19.3%","±3.3","104,847","±1,509","10,728","±2,520","10.2%","±2.4","70,970","±945","11,319","±2,255","15.9%","±3.2","54,008","±1,413","14,040","±2,506","26.0%","±4.5","96,448","±2,345","22,513","±3,056","23.3%","±3.1","50,510","±1,563","7,757","±2,086","15.4%","±4.2","72,289","±833","5,818","±1,671","8.0%","±2.3","101,178","±1,785","25,413","±3,456","25.1%","±3.3","43,795","±1,217","5,378","±1,839","12.3%","±4.2","34,039","±943","7,254","±1,753","21.3%","±5.2","34,258","±743","6,243","±1,848","18.2%","±5.4","43,590","±942","7,495","±2,606","17.2%","±5.9","49,968","±1,800","11,908","±2,390","23.8%","±4.9"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
