"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Liberty County, Georgia!!Total!!Estimate","Liberty County, Georgia!!Total!!Margin of Error","Liberty County, Georgia!!Below poverty level!!Estimate","Liberty County, Georgia!!Below poverty level!!Margin of Error","Liberty County, Georgia!!Percent below poverty level!!Estimate","Liberty County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","303,778,193","±23,617","48,452,035","±234,166","15.9%","±0.1","9,550,271","±4,699","1,827,743","±40,709","19.1%","±0.4","69,645","±380","12,794","±3,807","18.4%","±5.5","99,208","±957","21,255","±4,661","21.4%","±4.7","149,209","±1,976","36,437","±4,121","24.4%","±2.8","67,530","±1,489","22,095","±4,133","32.7%","±5.9","107,264","±921","20,285","±3,736","18.9%","±3.5","261,040","±1,918","57,456","±7,749","22.0%","±3.0","216,602","±1,006","20,509","±4,504","9.5%","±2.1","107,967","±1,802","42,780","±3,735","39.6%","±3.3","256,485","±2,048","65,239","±8,538","25.4%","±3.3","686,515","±2,157","86,631","±9,881","12.6%","±1.4","126,827","±1,094","8,718","±3,365","6.9%","±2.7","129,040","±629","22,601","±6,744","17.5%","±5.2","683,582","±2,220","130,909","±12,270","19.2%","±1.8","92,913","±957","26,997","±3,241","29.1%","±3.5","131,002","±1,345","22,740","±5,271","17.4%","±4.0","107,261","±536","11,903","±3,278","11.1%","±3.1","91,389","±1,471","17,965","±3,748","19.7%","±4.1","181,169","±618","17,394","±6,527","9.6%","±3.6","921,563","±2,370","175,630","±13,619","19.1%","±1.5","79,149","±1,087","14,833","±2,985","18.7%","±3.8","819,375","±1,185","128,797","±13,123","15.7%","±1.6","180,312","±779","31,358","±5,562","17.4%","±3.1","206,215","±1,046","34,987","±9,864","17.0%","±4.8","142,663","±960","19,857","±5,037","13.9%","±3.5","63,638","±506","10,228","±3,155","16.1%","±4.9","108,154","±973","29,127","±4,350","26.9%","±4.0","181,955","±2,325","34,324","±4,345","18.9%","±2.4","99,204","±1,017","21,156","±5,734","21.3%","±5.8","142,852","±702","22,216","±6,783","15.6%","±4.7","193,229","±1,520","44,661","±5,907","23.1%","±3.1","85,033","±677","11,470","±3,421","13.5%","±4.0","66,253","±669","14,638","±2,366","22.1%","±3.6","66,758","±1,011","11,165","±2,678","16.7%","±4.0","83,888","±555","12,680","±3,661","15.1%","±4.4","101,945","±768","17,131","±3,690","16.8%","±3.6"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","72,802,773","±36,760","16,386,500","±124,253","22.5%","±0.2","2,454,763","±5,461","646,824","±19,640","26.3%","±0.8","19,428","±1,325","5,271","±2,072","27.1%","±10.0","26,131","±609","9,173","±2,606","35.1%","±9.8","39,594","±590","12,692","±2,224","32.1%","±5.5","14,303","±418","4,087","±1,703","28.6%","±12.0","27,565","±187","6,293","±1,702","22.8%","±6.2","60,213","±631","21,616","±3,381","35.9%","±5.7","58,221","±665","6,445","±2,103","11.1%","±3.6","19,389","±581","7,985","±1,533","41.2%","±8.0","73,547","±1,483","26,721","±4,450","36.3%","±6.1","173,640","±1,416","29,679","±5,098","17.1%","±2.9","33,157","±1,047","2,658","±1,259","8.0%","±3.9","34,232","±567","9,291","±3,422","27.1%","±9.9","165,523","±946","46,154","±6,171","27.9%","±3.7","23,814","±413","8,617","±1,794","36.2%","±7.5","36,185","±813","7,127","±2,403","19.7%","±6.7","26,996","±7","3,910","±1,475","14.5%","±5.5","21,796","±1,060","6,153","±1,990","28.2%","±8.9","55,481","±2,354","6,417","±4,378","11.6%","±7.7","223,169","±750","57,939","±7,866","26.0%","±3.5","19,152","±384","5,715","±1,729","29.8%","±9.0","235,618","±940","52,217","±7,955","22.2%","±3.4","50,100","±549","12,502","±2,897","25.0%","±5.8","58,429","±379","17,012","±5,033","29.1%","±8.6","37,783","±115","7,852","±2,216","20.8%","±5.9","19,472","±336","4,212","±1,846","21.6%","±9.4","27,481","±274","8,976","±2,071","32.7%","±7.5","47,863","±721","13,102","±2,599","27.4%","±5.4","28,203","±311","7,940","±2,830","28.2%","±10.1","42,188","±141","9,406","±3,453","22.3%","±8.2","48,380","±925","15,942","±3,066","33.0%","±6.3","22,409","±264","4,399","±1,754","19.6%","±7.8","17,136","±332","5,804","±1,445","33.9%","±8.4","15,022","±577","2,965","±1,442","19.7%","±9.4","22,074","±198","5,219","±1,580","23.6%","±7.2","28,526","±392","6,512","±1,989","22.8%","±6.9"
"        Related children under 18 years","72,481,653","±38,342","16,087,074","±123,762","22.2%","±0.2","2,446,253","±6,508","639,080","±19,630","26.1%","±0.8","19,428","±1,325","5,271","±2,072","27.1%","±10.0","26,058","±636","9,173","±2,606","35.2%","±9.8","39,453","±633","12,551","±2,240","31.8%","±5.6","14,303","±418","4,087","±1,703","28.6%","±12.0","27,490","±197","6,218","±1,705","22.6%","±6.2","60,021","±742","21,424","±3,372","35.7%","±5.7","58,196","±662","6,420","±2,105","11.0%","±3.6","19,389","±581","7,985","±1,533","41.2%","±8.0","72,816","±2,012","26,054","±4,288","35.8%","±5.9","173,377","±1,600","29,416","±5,071","17.0%","±2.9","32,680","±1,640","2,181","±1,081","6.7%","±3.3","34,232","±567","9,291","±3,422","27.1%","±9.9","165,328","±985","45,959","±6,152","27.8%","±3.7","23,574","±458","8,394","±1,777","35.6%","±7.5","36,185","±813","7,127","±2,403","19.7%","±6.7","26,937","±106","3,851","±1,465","14.3%","±5.4","21,796","±1,060","6,153","±1,990","28.2%","±8.9","55,106","±2,540","6,042","±4,367","11.0%","±7.7","222,802","±890","57,592","±7,826","25.8%","±3.5","18,950","±453","5,589","±1,734","29.5%","±9.1","235,249","±1,021","51,848","±7,937","22.0%","±3.4","49,834","±659","12,423","±2,872","24.9%","±5.8","58,429","±379","17,012","±5,033","29.1%","±8.6","37,783","±115","7,852","±2,216","20.8%","±5.9","19,472","±336","4,212","±1,846","21.6%","±9.4","27,245","±391","8,740","±2,035","32.1%","±7.4","47,839","±719","13,078","±2,596","27.3%","±5.4","28,197","±309","7,934","±2,834","28.1%","±10.1","42,015","±311","9,233","±3,474","22.0%","±8.2","48,193","±964","15,755","±3,044","32.7%","±6.3","22,353","±290","4,343","±1,751","19.4%","±7.8","17,050","±375","5,718","±1,447","33.5%","±8.4","14,964","±587","2,907","±1,439","19.4%","±9.4","22,074","±198","5,219","±1,580","23.6%","±7.2","28,445","±444","6,431","±1,988","22.6%","±7.0"
"    18 to 64 years","190,889,167","±25,155","28,335,079","±126,915","14.8%","±0.1","6,049,421","±5,667","1,066,876","±25,240","17.6%","±0.4","43,947","±1,102","7,358","±2,406","16.7%","±5.5","62,574","±824","11,528","±2,434","18.4%","±3.9","89,999","±2,033","21,409","±2,757","23.8%","±3.0","47,151","±1,584","17,139","±2,862","36.3%","±5.8","67,681","±1,157","12,989","±2,454","19.2%","±3.6","168,307","±1,889","32,897","±4,949","19.5%","±2.9","137,947","±1,064","13,205","±2,915","9.6%","±2.1","78,789","±1,635","33,283","±2,921","42.2%","±3.4","164,767","±1,682","35,796","±4,829","21.7%","±2.9","452,048","±1,924","50,871","±5,485","11.3%","±1.2","80,384","±832","5,443","±2,229","6.8%","±2.8","79,926","±1,136","12,157","±4,038","15.2%","±5.0","454,097","±1,920","77,588","±7,085","17.1%","±1.6","57,865","±940","16,440","±1,993","28.4%","±3.4","83,660","±1,346","14,692","±3,575","17.6%","±4.2","65,562","±537","7,181","±1,893","11.0%","±2.9","55,692","±1,185","10,646","±2,140","19.1%","±3.8","108,552","±2,588","10,006","±3,338","9.2%","±3.1","613,962","±2,252","106,459","±7,757","17.3%","±1.3","47,383","±1,191","8,029","±1,554","16.9%","±3.2","525,268","±866","72,568","±7,491","13.8%","±1.4","109,259","±992","16,920","±3,338","15.5%","±3.0","130,284","±977","17,608","±5,492","13.5%","±4.2","90,413","±1,082","11,088","±3,269","12.3%","±3.6","40,200","±548","5,427","±1,563","13.5%","±3.9","70,149","±962","19,466","±2,871","27.7%","±4.1","112,891","±2,121","18,802","±2,532","16.7%","±2.2","61,021","±847","12,023","±3,599","19.7%","±5.9","89,982","±1,164","10,958","±3,592","12.2%","±4.0","122,770","±1,262","25,869","±3,813","21.1%","±3.1","53,366","±718","6,058","±1,845","11.4%","±3.5","40,968","±831","7,770","±1,315","19.0%","±3.2","41,547","±728","7,551","±1,880","18.2%","±4.5","51,120","±688","6,835","±2,539","13.4%","±5.0","62,310","±705","9,945","±2,045","16.0%","±3.3"
"    65 years and over","40,086,253","±20,931","3,730,456","±26,781","9.3%","±0.1","1,046,087","±4,355","114,043","±6,552","10.9%","±0.6","6,270","±899","165","±202","2.6%","±3.2","10,503","±681","554","±516","5.3%","±4.9","19,616","±332","2,336","±670","11.9%","±3.4","6,076","±470","869","±517","14.3%","±8.2","12,018","±693","1,003","±440","8.3%","±3.7","32,520","±557","2,943","±851","9.0%","±2.6","20,434","±498","859","±554","4.2%","±2.7","9,789","±250","1,512","±441","15.4%","±4.4","18,171","±913","2,722","±1,087","15.0%","±5.5","60,827","±1,092","6,081","±1,726","10.0%","±2.8","13,286","±885","617","±503","4.6%","±3.9","14,882","±798","1,153","±610","7.7%","±4.0","63,962","±807","7,167","±1,448","11.2%","±2.2","11,234","±396","1,940","±662","17.3%","±5.8","11,157","±970","921","±675","8.3%","±5.6","14,703","±514","812","±459","5.5%","±3.1","13,901","±534","1,166","±538","8.4%","±3.9","17,136","±1,142","971","±778","5.7%","±4.5","84,432","±1,096","11,232","±1,958","13.3%","±2.3","12,614","±687","1,089","±574","8.6%","±4.6","58,489","±653","4,012","±1,496","6.9%","±2.6","20,953","±834","1,936","±681","9.2%","±3.1","17,502","±533","367","±379","2.1%","±2.2","14,467","±473","917","±558","6.3%","±3.9","3,966","±323","589","±418","14.9%","±10.2","10,524","±355","685","±324","6.5%","±3.1","21,201","±517","2,420","±689","11.4%","±3.2","9,980","±319","1,193","±800","12.0%","±8.0","10,682","±1,041","1,852","±1,327","17.3%","±11.7","22,079","±526","2,850","±997","12.9%","±4.6","9,258","±314","1,013","±514","10.9%","±5.6","8,149","±374","1,064","±364","13.1%","±4.5","10,189","±321","649","±429","6.4%","±4.2","10,694","±515","626","±431","5.9%","±4.0","11,109","±311","674","±397","6.1%","±3.5"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","148,591,813","±35,168","21,825,281","±133,976","14.7%","±0.1","4,633,591","±7,356","824,886","±23,658","17.8%","±0.5","36,054","±1,127","6,425","±2,073","17.8%","±5.7","48,453","±959","8,726","±2,222","18.0%","±4.4","69,511","±1,864","14,830","±2,153","21.3%","±3.0","32,842","±1,409","10,183","±2,397","31.0%","±6.9","52,292","±1,099","9,386","±2,381","17.9%","±4.4","124,421","±1,837","25,641","±4,003","20.6%","±3.2","105,701","±1,067","8,799","±2,293","8.3%","±2.2","51,862","±1,378","17,697","±1,798","34.1%","±3.4","123,716","±1,508","31,341","±4,440","25.3%","±3.5","334,462","±1,596","40,617","±5,761","12.1%","±1.7","62,026","±1,158","3,939","±1,927","6.4%","±3.1","63,911","±1,112","11,745","±3,694","18.4%","±5.8","326,652","±1,609","59,327","±6,205","18.2%","±1.9","42,223","±887","11,648","±1,750","27.6%","±4.0","62,568","±1,447","11,250","±3,031","18.0%","±4.8","52,092","±803","5,546","±1,569","10.6%","±3.0","44,679","±853","8,037","±2,025","18.0%","±4.5","92,583","±2,854","9,439","±3,684","10.2%","±4.0","447,565","±2,443","77,491","±6,754","17.3%","±1.5","37,864","±879","6,959","±1,886","18.4%","±4.9","403,325","±1,168","59,237","±7,372","14.7%","±1.8","89,674","±965","15,081","±3,041","16.8%","±3.4","98,211","±2,337","15,118","±5,230","15.4%","±5.3","68,714","±1,212","8,940","±2,475","13.0%","±3.6","31,326","±1,034","5,591","±1,933","17.8%","±5.9","52,746","±1,091","13,915","±2,492","26.4%","±4.6","83,462","±2,053","13,142","±2,237","15.7%","±2.6","46,668","±1,484","8,922","±2,686","19.1%","±5.6","71,427","±2,276","10,080","±3,460","14.1%","±4.8","91,554","±1,456","19,592","±3,693","21.4%","±4.0","41,423","±1,083","4,871","±1,930","11.8%","±4.6","31,764","±997","6,488","±1,254","20.4%","±4.0","32,207","±836","4,283","±1,270","13.3%","±4.0","41,967","±1,315","5,809","±2,474","13.8%","±5.9","51,061","±836","6,868","±1,964","13.5%","±3.9"
"    Female","155,186,380","±34,397","26,626,754","±123,115","17.2%","±0.1","4,916,680","±8,268","1,002,857","±23,243","20.4%","±0.5","33,591","±1,249","6,369","±2,023","19.0%","±6.1","50,755","±992","12,529","±3,037","24.7%","±5.9","79,698","±1,051","21,607","±2,671","27.1%","±3.4","34,688","±1,026","11,912","±2,353","34.3%","±6.7","54,972","±1,085","10,899","±2,205","19.8%","±4.0","136,619","±1,578","31,815","±4,431","23.3%","±3.2","110,901","±1,233","11,710","±2,757","10.6%","±2.5","56,105","±1,900","25,083","±2,627","44.7%","±4.3","132,769","±1,821","33,898","±5,200","25.5%","±3.9","352,053","±1,352","46,014","±5,509","13.1%","±1.6","64,801","±1,471","4,779","±2,047","7.4%","±3.2","65,129","±1,148","10,856","±3,440","16.7%","±5.3","356,930","±1,802","71,582","±7,447","20.1%","±2.1","50,690","±675","15,349","±1,982","30.3%","±3.9","68,434","±893","11,490","±2,751","16.8%","±4.0","55,169","±764","6,357","±2,039","11.5%","±3.7","46,710","±1,081","9,928","±2,161","21.3%","±4.5","88,586","±2,869","7,955","±3,473","9.0%","±3.9","473,998","±2,161","98,139","±8,615","20.7%","±1.8","41,285","±725","7,874","±1,740","19.1%","±4.2","416,050","±785","69,560","±7,707","16.7%","±1.9","90,638","±621","16,277","±2,953","18.0%","±3.3","108,004","±1,999","19,869","±5,860","18.4%","±5.5","73,949","±1,018","10,917","±2,960","14.8%","±4.0","32,312","±1,041","4,637","±1,438","14.4%","±4.6","55,408","±719","15,212","±2,531","27.5%","±4.6","98,493","±995","21,182","±2,752","21.5%","±2.8","52,536","±1,185","12,234","±3,649","23.3%","±7.0","71,425","±2,317","12,136","±4,058","17.0%","±5.6","101,675","±998","25,069","±3,082","24.7%","±3.0","43,610","±1,206","6,599","±1,839","15.1%","±4.3","34,489","±757","8,150","±1,640","23.6%","±4.6","34,551","±548","6,882","±1,905","19.9%","±5.5","41,921","±1,279","6,871","±1,790","16.4%","±4.1","50,884","±608","10,263","±2,208","20.2%","±4.2"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
