,UNEMPLOYMENT
,
,
,
"Barrow County, Georgia!!Estimate","2,965"
"Barrow County, Georgia!!Percent",5.20%
"Bartow County, Georgia!!Estimate","1,787"
"Bartow County, Georgia!!Percent",2.20%
"Bibb County, Georgia!!Estimate","5,530"
"Bibb County, Georgia!!Percent",4.60%
"Bulloch County, Georgia!!Estimate","2,094"
"Bulloch County, Georgia!!Percent",3.50%
"Carroll County, Georgia!!Estimate","5,646"
"Carroll County, Georgia!!Percent",6.20%
"Chatham County, Georgia!!Estimate","13,748"
"Chatham County, Georgia!!Percent",6.00%
"Cherokee County, Georgia!!Estimate","4,941"
"Cherokee County, Georgia!!Percent",2.70%
"Clarke County, Georgia!!Estimate","3,957"
"Clarke County, Georgia!!Percent",3.80%
"Clayton County, Georgia!!Estimate","14,463"
"Clayton County, Georgia!!Percent",7.10%
"Cobb County, Georgia!!Estimate","24,214"
"Cobb County, Georgia!!Percent",4.20%
"Columbia County, Georgia!!Estimate","4,608"
"Columbia County, Georgia!!Percent",4.10%
"Coweta County, Georgia!!Estimate","3,810"
"Coweta County, Georgia!!Percent",3.60%
"DeKalb County, Georgia!!Estimate","33,027"
"DeKalb County, Georgia!!Percent",5.70%
"Dougherty County, Georgia!!Estimate","6,325"
"Dougherty County, Georgia!!Percent",8.80%
"Douglas County, Georgia!!Estimate","6,307"
"Douglas County, Georgia!!Percent",5.90%
"Fayette County, Georgia!!Estimate","1,840"
"Fayette County, Georgia!!Percent",2.10%
"Floyd County, Georgia!!Estimate","3,268"
"Floyd County, Georgia!!Percent",4.30%
"Forsyth County, Georgia!!Estimate","5,279"
"Forsyth County, Georgia!!Percent",3.30%
"Fulton County, Georgia!!Estimate","38,128"
"Fulton County, Georgia!!Percent",4.80%
"Glynn County, Georgia!!Estimate","1,818"
"Glynn County, Georgia!!Percent",2.70%
"Gwinnett County, Georgia!!Estimate","27,596"
"Gwinnett County, Georgia!!Percent",4.10%
"Hall County, Georgia!!Estimate","4,614"
"Hall County, Georgia!!Percent",3.10%
"Henry County, Georgia!!Estimate","7,731"
"Henry County, Georgia!!Percent",4.60%
"Houston County, Georgia!!Estimate","7,039"
"Houston County, Georgia!!Percent",6.10%
"Lowndes County, Georgia!!Estimate","4,763"
"Lowndes County, Georgia!!Percent",5.40%
"Muscogee County, Georgia!!Estimate","9,467"
"Muscogee County, Georgia!!Percent",6.00%
"Newton County, Georgia!!Estimate","4,906"
"Newton County, Georgia!!Percent",6.10%
"Paulding County, Georgia!!Estimate","3,866"
"Paulding County, Georgia!!Percent",3.30%
"Richmond County, Georgia!!Estimate","8,009"
"Richmond County, Georgia!!Percent",5.00%
"Rockdale County, Georgia!!Estimate","2,918"
"Rockdale County, Georgia!!Percent",4.20%
"Troup County, Georgia!!Estimate","4,023"
"Troup County, Georgia!!Percent",7.50%
"Walker County, Georgia!!Estimate",N
"Walker County, Georgia!!Percent",N
"Walton County, Georgia!!Estimate","1,737"
"Walton County, Georgia!!Percent",2.60%
"Whitfield County, Georgia!!Estimate","2,359"
"Whitfield County, Georgia!!Percent",3.00%
