,UNEMPLOYMENT
,
,
,
"Barrow County, Georgia!!Estimate","1,303"
"Barrow County, Georgia!!Percent",1.90%
"Bartow County, Georgia!!Estimate","2,906"
"Bartow County, Georgia!!Percent",3.20%
"Bibb County, Georgia!!Estimate","5,858"
"Bibb County, Georgia!!Percent",4.80%
"Bulloch County, Georgia!!Estimate","3,868"
"Bulloch County, Georgia!!Percent",5.60%
"Carroll County, Georgia!!Estimate","3,860"
"Carroll County, Georgia!!Percent",4.00%
"Chatham County, Georgia!!Estimate","9,425"
"Chatham County, Georgia!!Percent",3.90%
"Cherokee County, Georgia!!Estimate","6,188"
"Cherokee County, Georgia!!Percent",2.80%
"Clarke County, Georgia!!Estimate","2,956"
"Clarke County, Georgia!!Percent",2.70%
"Clayton County, Georgia!!Estimate","10,755"
"Clayton County, Georgia!!Percent",4.80%
"Cobb County, Georgia!!Estimate","23,410"
"Cobb County, Georgia!!Percent",3.80%
"Columbia County, Georgia!!Estimate","5,532"
"Columbia County, Georgia!!Percent",4.40%
"Coweta County, Georgia!!Estimate","2,937"
"Coweta County, Georgia!!Percent",2.40%
"DeKalb County, Georgia!!Estimate","26,272"
"DeKalb County, Georgia!!Percent",4.40%
"Dougherty County, Georgia!!Estimate","3,195"
"Dougherty County, Georgia!!Percent",4.70%
"Douglas County, Georgia!!Estimate","5,101"
"Douglas County, Georgia!!Percent",4.40%
"Fayette County, Georgia!!Estimate","2,756"
"Fayette County, Georgia!!Percent",2.80%
"Floyd County, Georgia!!Estimate","1,420"
"Floyd County, Georgia!!Percent",1.80%
"Forsyth County, Georgia!!Estimate","6,874"
"Forsyth County, Georgia!!Percent",3.40%
"Fulton County, Georgia!!Estimate","28,880"
"Fulton County, Georgia!!Percent",3.30%
"Glynn County, Georgia!!Estimate","1,016"
"Glynn County, Georgia!!Percent",1.50%
"Gwinnett County, Georgia!!Estimate","22,476"
"Gwinnett County, Georgia!!Percent",3.00%
"Hall County, Georgia!!Estimate","4,179"
"Hall County, Georgia!!Percent",2.60%
"Henry County, Georgia!!Estimate","9,035"
"Henry County, Georgia!!Percent",4.70%
"Houston County, Georgia!!Estimate","4,860"
"Houston County, Georgia!!Percent",3.70%
"Lowndes County, Georgia!!Estimate","3,884"
"Lowndes County, Georgia!!Percent",4.20%
"Muscogee County, Georgia!!Estimate","6,337"
"Muscogee County, Georgia!!Percent",4.00%
"Newton County, Georgia!!Estimate","4,018"
"Newton County, Georgia!!Percent",4.50%
"Paulding County, Georgia!!Estimate","3,267"
"Paulding County, Georgia!!Percent",2.40%
"Richmond County, Georgia!!Estimate","9,205"
"Richmond County, Georgia!!Percent",5.60%
"Rockdale County, Georgia!!Estimate","2,387"
"Rockdale County, Georgia!!Percent",3.20%
"Troup County, Georgia!!Estimate","1,858"
"Troup County, Georgia!!Percent",3.30%
"Walker County, Georgia!!Estimate","1,446"
"Walker County, Georgia!!Percent",2.60%
"Walton County, Georgia!!Estimate","3,102"
"Walton County, Georgia!!Percent",3.90%
"Whitfield County, Georgia!!Estimate","4,303"
"Whitfield County, Georgia!!Percent",5.40%
