,UNEMPLOYMENT
,
,
,
"Barrow County, Georgia!!Estimate","1,139"
"Barrow County, Georgia!!Percent",1.90%
"Bartow County, Georgia!!Estimate","1,726"
"Bartow County, Georgia!!Percent",2.10%
"Bibb County, Georgia!!Estimate","4,745"
"Bibb County, Georgia!!Percent",4.00%
"Bulloch County, Georgia!!Estimate","3,335"
"Bulloch County, Georgia!!Percent",5.40%
"Carroll County, Georgia!!Estimate","2,988"
"Carroll County, Georgia!!Percent",3.20%
"Chatham County, Georgia!!Estimate","9,870"
"Chatham County, Georgia!!Percent",4.20%
"Cherokee County, Georgia!!Estimate","5,210"
"Cherokee County, Georgia!!Percent",2.70%
"Clarke County, Georgia!!Estimate","4,178"
"Clarke County, Georgia!!Percent",3.90%
"Clayton County, Georgia!!Estimate","9,243"
"Clayton County, Georgia!!Percent",4.30%
"Cobb County, Georgia!!Estimate","19,363"
"Cobb County, Georgia!!Percent",3.30%
"Columbia County, Georgia!!Estimate","1,849"
"Columbia County, Georgia!!Percent",1.60%
"Coweta County, Georgia!!Estimate","3,438"
"Coweta County, Georgia!!Percent",3.10%
"DeKalb County, Georgia!!Estimate","27,064"
"DeKalb County, Georgia!!Percent",4.50%
"Dougherty County, Georgia!!Estimate","5,336"
"Dougherty County, Georgia!!Percent",7.60%
"Douglas County, Georgia!!Estimate","3,455"
"Douglas County, Georgia!!Percent",3.10%
"Fayette County, Georgia!!Estimate","2,984"
"Fayette County, Georgia!!Percent",3.30%
"Floyd County, Georgia!!Estimate","2,575"
"Floyd County, Georgia!!Percent",3.30%
"Forsyth County, Georgia!!Estimate","3,731"
"Forsyth County, Georgia!!Percent",2.20%
"Fulton County, Georgia!!Estimate","33,800"
"Fulton County, Georgia!!Percent",4.10%
"Glynn County, Georgia!!Estimate",N
"Glynn County, Georgia!!Percent",N
"Gwinnett County, Georgia!!Estimate","20,522"
"Gwinnett County, Georgia!!Percent",2.90%
"Hall County, Georgia!!Estimate","2,916"
"Hall County, Georgia!!Percent",1.90%
"Henry County, Georgia!!Estimate","7,381"
"Henry County, Georgia!!Percent",4.30%
"Houston County, Georgia!!Estimate","5,303"
"Houston County, Georgia!!Percent",4.50%
"Lowndes County, Georgia!!Estimate","2,372"
"Lowndes County, Georgia!!Percent",2.60%
"Muscogee County, Georgia!!Estimate","8,978"
"Muscogee County, Georgia!!Percent",5.90%
"Newton County, Georgia!!Estimate","3,014"
"Newton County, Georgia!!Percent",3.60%
"Paulding County, Georgia!!Estimate","2,710"
"Paulding County, Georgia!!Percent",2.20%
"Richmond County, Georgia!!Estimate","10,343"
"Richmond County, Georgia!!Percent",6.50%
"Rockdale County, Georgia!!Estimate","3,125"
"Rockdale County, Georgia!!Percent",4.50%
"Troup County, Georgia!!Estimate","1,627"
"Troup County, Georgia!!Percent",3.00%
"Walker County, Georgia!!Estimate","2,549"
"Walker County, Georgia!!Percent",4.60%
"Walton County, Georgia!!Estimate","2,549"
"Walton County, Georgia!!Percent",3.60%
"Whitfield County, Georgia!!Estimate","3,088"
"Whitfield County, Georgia!!Percent",3.80%
