,unemployed
,
COUNTY,2011
"Barrow County, Georgia!!Estimate","5,628"
"Barrow County, Georgia!!Percent",10.70%
"Bartow County, Georgia!!Estimate","6,433"
"Bartow County, Georgia!!Percent",8.40%
"Bibb County, Georgia!!Estimate","9,108"
"Bibb County, Georgia!!Percent",7.60%
"Bulloch County, Georgia!!Estimate","2,182"
"Bulloch County, Georgia!!Percent",3.60%
"Carroll County, Georgia!!Estimate","6,316"
"Carroll County, Georgia!!Percent",7.30%
"Chatham County, Georgia!!Estimate","12,808"
"Chatham County, Georgia!!Percent",5.90%
"Cherokee County, Georgia!!Estimate","7,799"
"Cherokee County, Georgia!!Percent",4.70%
"Clarke County, Georgia!!Estimate","4,516"
"Clarke County, Georgia!!Percent",4.60%
"Clayton County, Georgia!!Estimate","24,359"
"Clayton County, Georgia!!Percent",12.60%
"Cobb County, Georgia!!Estimate","43,415"
"Cobb County, Georgia!!Percent",8.00%
"Columbia County, Georgia!!Estimate","3,903"
"Columbia County, Georgia!!Percent",4.00%
"Coweta County, Georgia!!Estimate","5,379"
"Coweta County, Georgia!!Percent",5.40%
"DeKalb County, Georgia!!Estimate","56,281"
"DeKalb County, Georgia!!Percent",10.20%
"Dougherty County, Georgia!!Estimate","7,460"
"Dougherty County, Georgia!!Percent",10.10%
"Douglas County, Georgia!!Estimate","11,038"
"Douglas County, Georgia!!Percent",11.00%
"Fayette County, Georgia!!Estimate","5,892"
"Fayette County, Georgia!!Percent",7.00%
"Floyd County, Georgia!!Estimate","6,944"
"Floyd County, Georgia!!Percent",9.20%
"Forsyth County, Georgia!!Estimate","12,042"
"Forsyth County, Georgia!!Percent",9.10%
"Fulton County, Georgia!!Estimate","60,871"
"Fulton County, Georgia!!Percent",8.10%
"Glynn County, Georgia!!Estimate","5,412"
"Glynn County, Georgia!!Percent",8.60%
"Gwinnett County, Georgia!!Estimate","48,921"
"Gwinnett County, Georgia!!Percent",8.00%
"Hall County, Georgia!!Estimate","9,525"
"Hall County, Georgia!!Percent",6.90%
"Henry County, Georgia!!Estimate","13,041"
"Henry County, Georgia!!Percent",8.40%
"Houston County, Georgia!!Estimate","7,746"
"Houston County, Georgia!!Percent",7.00%
"Lowndes County, Georgia!!Estimate","9,030"
"Lowndes County, Georgia!!Percent",10.40%
"Muscogee County, Georgia!!Estimate","10,482"
"Muscogee County, Georgia!!Percent",7.00%
"Newton County, Georgia!!Estimate","7,552"
"Newton County, Georgia!!Percent",10.00%
"Paulding County, Georgia!!Estimate","10,112"
"Paulding County, Georgia!!Percent",9.40%
"Richmond County, Georgia!!Estimate","12,069"
"Richmond County, Georgia!!Percent",7.70%
"Rockdale County, Georgia!!Estimate","5,679"
"Rockdale County, Georgia!!Percent",8.70%
"Troup County, Georgia!!Estimate","4,706"
"Troup County, Georgia!!Percent",9.00%
"Walker County, Georgia!!Estimate","4,182"
"Walker County, Georgia!!Percent",7.60%
"Walton County, Georgia!!Estimate","3,645"
"Walton County, Georgia!!Percent",5.50%
"Whitfield County, Georgia!!Estimate","5,738"
"Whitfield County, Georgia!!Percent",7.50%
