"Label (Grouping)","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error"
"All households","4.6%","±0.1","3.1%","±0.1","N","N","N","N","0.6%","±0.5","2.3%","±1.2","N","N","2.3%","±0.7","2.3%","±0.7","3.7%","±1.6","7.2%","±1.6","3.3%","±0.6","2.2%","±1.0","1.1%","±0.7","6.2%","±0.8","N","N","1.7%","±1.1","2.3%","±1.2","N","N","3.2%","±1.3","3.9%","±0.5","2.3%","±1.3","9.5%","±0.9","4.5%","±1.4","1.7%","±0.9","1.9%","±0.9","N","N","1.4%","±0.6","N","N","N","N","0.7%","±0.4","N","N","N","N","N","N","N","N","N","N"
"Households speaking --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Spanish","24.7%","±0.2","28.6%","±1.4","N","N","N","N","15.4%","±15.5","30.4%","±22.5","N","N","37.4%","±14.6","18.2%","±8.1","37.8%","±18.7","39.8%","±11.1","21.2%","±5.1","26.9%","±15.4","23.4%","±15.7","41.0%","±5.8","N","N","21.3%","±13.5","17.6%","±13.7","N","N","15.4%","±12.2","32.6%","±5.4","32.8%","±19.5","34.9%","±4.0","22.5%","±7.2","25.4%","±14.3","26.3%","±13.3","N","N","16.8%","±8.8","N","N","N","N","11.1%","±13.4","N","N","N","N","N","N","N","N","N","N"
"    Other Indo-European languages","16.2%","±0.3","11.6%","±1.6","N","N","N","N","5.8%","±8.9","21.4%","±29.5","N","N","7.4%","±7.9","10.0%","±6.2","21.0%","±21.1","22.4%","±20.2","12.0%","±4.4","6.4%","±10.6","0.0%","±8.7","18.6%","±5.4","N","N","0.0%","±14.2","10.7%","±12.1","N","N","12.2%","±9.5","12.6%","±5.1","0.0%","±33.9","12.6%","±3.7","0.0%","±19.1","0.0%","±9.1","6.8%","±11.6","N","N","8.2%","±8.7","N","N","N","N","9.8%","±9.6","N","N","N","N","N","N","N","N","N","N"
"    Asian and Pacific Island languages","26.9%","±0.4","32.4%","±2.9","N","N","N","N","0.0%","±40.1","64.2%","±45.4","N","N","29.6%","±16.7","23.9%","±22.2","13.1%","±14.7","62.9%","±14.1","19.7%","±6.4","22.8%","±13.1","9.3%","±19.8","46.8%","±10.5","N","N","34.6%","±48.4","26.8%","±18.6","N","N","35.2%","±17.5","27.6%","±6.8","31.6%","±35.5","43.2%","±5.7","33.2%","±30.3","27.4%","±17.1","20.9%","±22.3","N","N","11.8%","±9.2","N","N","N","N","10.4%","±13.7","N","N","N","N","N","N","N","N","N","N"
"    Other languages","16.8%","±0.5","9.1%","±3.2","N","N","N","N","0.0%","±67.0","0.0%","±76.9","N","N","0.0%","±43.8","0.0%","±45.7","0.0%","±54.1","15.5%","±14.5","1.6%","±2.6","0.0%","±25.5","0.0%","±55.2","24.7%","±12.0","N","N","9.3%","±18.0","0.0%","±37.7","N","N","0.0%","±26.7","6.9%","±7.2","-","**","6.9%","±5.0","0.0%","±49.2","0.0%","±42.3","0.0%","±79.9","N","N","0.0%","±44.7","N","N","N","N","0.0%","±42.2","N","N","N","N","N","N","N","N","N","N"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Language status","3.4%","(X)","4.2%","(X)","4.0%","(X)","3.8%","(X)","3.2%","(X)","2.7%","(X)","4.5%","(X)","3.2%","(X)","2.6%","(X)","3.3%","(X)","5.3%","(X)","6.1%","(X)","4.2%","(X)","2.9%","(X)","4.2%","(X)","7.4%","(X)","6.1%","(X)","3.3%","(X)","4.7%","(X)","5.2%","(X)","3.7%","(X)","7.5%","(X)","4.8%","(X)","2.6%","(X)","5.0%","(X)","3.8%","(X)","3.0%","(X)","3.3%","(X)","3.6%","(X)","6.1%","(X)","3.6%","(X)","5.1%","(X)","4.3%","(X)","2.3%","(X)","12.7%","(X)","1.3%","(X)"
"    Language status (speak a language other than English)","3.2%","(X)","3.7%","(X)","0.7%","(X)","4.7%","(X)","1.1%","(X)","0.0%","(X)","0.9%","(X)","1.1%","(X)","1.7%","(X)","3.2%","(X)","7.3%","(X)","4.0%","(X)","2.8%","(X)","2.8%","(X)","2.6%","(X)","1.7%","(X)","2.1%","(X)","3.4%","(X)","5.1%","(X)","6.8%","(X)","1.7%","(X)","3.0%","(X)","5.4%","(X)","3.4%","(X)","7.0%","(X)","1.1%","(X)","7.5%","(X)","2.5%","(X)","1.5%","(X)","6.5%","(X)","1.6%","(X)","5.6%","(X)","11.7%","(X)","0.0%","(X)","22.0%","(X)","1.1%","(X)"
"    Ability to speak English","4.0%","(X)","4.5%","(X)","1.9%","(X)","6.6%","(X)","0.8%","(X)","0.0%","(X)","1.4%","(X)","1.1%","(X)","1.8%","(X)","3.4%","(X)","8.9%","(X)","4.5%","(X)","4.2%","(X)","2.5%","(X)","3.4%","(X)","5.1%","(X)","4.1%","(X)","4.7%","(X)","5.8%","(X)","7.7%","(X)","3.0%","(X)","3.0%","(X)","6.2%","(X)","4.6%","(X)","8.8%","(X)","3.1%","(X)","10.1%","(X)","2.7%","(X)","2.7%","(X)","7.0%","(X)","2.2%","(X)","5.6%","(X)","12.0%","(X)","3.2%","(X)","22.5%","(X)","1.5%","(X)"
