"Label (Grouping)","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","United States!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Barrow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bartow County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bibb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Bulloch County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Carroll County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Catoosa County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Chatham County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cherokee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clarke County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Clayton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Cobb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Columbia County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Coweta County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","DeKalb County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Dougherty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Douglas County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fayette County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Floyd County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Forsyth County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Fulton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Glynn County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Gwinnett County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Hall County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Henry County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Houston County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Liberty County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Lowndes County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Muscogee County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Newton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Paulding County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Richmond County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Rockdale County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Troup County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walker County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Walton County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Estimate","Whitfield County, Georgia!!No one age 14 and over speaks English only or speaks English ""very well""!!Margin of Error"
"All households","4.5%","±0.1","3.0%","±0.2","2.0%","±1.4","N","N","0.9%","±0.5","1.9%","±1.1","3.1%","±1.6","N","N","1.5%","±0.5","1.8%","±1.0","4.1%","±1.1","4.4%","±1.2","4.0%","±0.7","0.8%","±0.7","1.5%","±0.8","5.4%","±0.6","N","N","4.3%","±2.2","1.7%","±0.9","N","N","3.1%","±1.0","3.6%","±0.5","N","N","8.2%","±0.9","7.6%","±1.7","N","N","N","N","N","N","N","N","2.5%","±0.9","N","N","N","N","1.0%","±0.7","N","N","N","N","N","N","N","N","6.7%","±2.4"
"Households speaking --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Spanish","23.2%","±0.2","26.5%","±1.7","21.5%","±18.5","N","N","14.8%","±15.5","60.0%","±27.6","48.1%","±22.1","N","N","20.2%","±9.7","26.3%","±13.3","39.7%","±14.1","22.7%","±8.1","27.6%","±5.1","0.0%","±11.1","33.2%","±19.7","37.8%","±5.1","N","N","28.2%","±17.8","19.2%","±11.7","N","N","17.7%","±10.0","24.2%","±5.0","N","N","28.0%","±4.5","36.7%","±8.0","N","N","N","N","N","N","N","N","19.7%","±9.9","N","N","N","N","13.4%","±11.9","N","N","N","N","N","N","N","N","36.2%","±11.3"
"    Other Indo-European languages","16.0%","±0.3","10.3%","±1.6","14.9%","±16.1","N","N","44.0%","±35.7","25.6%","±40.1","0.0%","±29.3","N","N","9.7%","±9.2","0.0%","±11.6","4.9%","±7.8","3.0%","±5.2","6.5%","±3.3","0.0%","±16.3","0.0%","±14.2","14.1%","±5.1","N","N","0.0%","±12.9","3.2%","±5.5","N","N","13.2%","±9.5","13.2%","±4.7","N","N","10.8%","±3.6","3.4%","±6.3","N","N","N","N","N","N","N","N","28.0%","±16.4","N","N","N","N","7.7%","±10.8","N","N","N","N","N","N","N","N","0.0%","±68.7"
"    Asian and Pacific Island languages","26.0%","±0.3","27.1%","±3.0","12.4%","±11.8","N","N","10.7%","±19.8","6.7%","±16.3","27.3%","±30.0","N","N","14.8%","±10.4","28.1%","±40.6","26.4%","±14.3","42.7%","±18.2","22.9%","±9.2","26.8%","±21.7","40.4%","±33.7","41.2%","±9.5","N","N","79.5%","±25.3","6.6%","±12.5","N","N","18.7%","±7.6","18.9%","±7.4","N","N","33.1%","±5.7","34.0%","±21.9","N","N","N","N","N","N","N","N","33.1%","±18.6","N","N","N","N","15.4%","±19.3","N","N","N","N","N","N","N","N","0.0%","±38.7"
"    Other languages","17.3%","±0.6","19.2%","±4.6","-","**","N","N","13.7%","±22.8","-","**","-","**","N","N","0.0%","±36.9","0.0%","±78.7","39.3%","±47.0","6.8%","±8.0","5.2%","±6.3","0.0%","±42.7","0.0%","±65.5","26.0%","±8.3","N","N","14.8%","±24.3","40.2%","±59.8","N","N","0.0%","±78.7","33.5%","±12.6","N","N","15.3%","±12.4","16.7%","±29.9","N","N","N","N","N","N","N","N","0.0%","±52.3","N","N","N","N","0.0%","±29.8","N","N","N","N","N","N","N","N","-","**"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Language status","5.9%","(X)","6.2%","(X)","7.7%","(X)","4.4%","(X)","6.8%","(X)","4.2%","(X)","6.0%","(X)","5.2%","(X)","4.5%","(X)","5.5%","(X)","5.3%","(X)","5.4%","(X)","5.2%","(X)","4.9%","(X)","12.0%","(X)","7.1%","(X)","7.9%","(X)","5.6%","(X)","13.1%","(X)","5.9%","(X)","6.8%","(X)","6.3%","(X)","6.7%","(X)","7.0%","(X)","6.5%","(X)","5.7%","(X)","7.5%","(X)","3.9%","(X)","4.6%","(X)","5.3%","(X)","6.2%","(X)","9.1%","(X)","8.2%","(X)","6.8%","(X)","4.3%","(X)","6.9%","(X)","6.5%","(X)","5.5%","(X)"
"    Language status (speak a language other than English)","5.4%","(X)","5.2%","(X)","5.2%","(X)","0.2%","(X)","0.0%","(X)","2.6%","(X)","2.3%","(X)","11.6%","(X)","1.1%","(X)","5.9%","(X)","4.2%","(X)","4.1%","(X)","3.4%","(X)","2.1%","(X)","11.0%","(X)","5.0%","(X)","11.1%","(X)","4.6%","(X)","12.3%","(X)","7.0%","(X)","4.8%","(X)","3.9%","(X)","0.9%","(X)","7.3%","(X)","4.9%","(X)","8.5%","(X)","3.0%","(X)","4.9%","(X)","2.0%","(X)","4.6%","(X)","0.0%","(X)","7.5%","(X)","10.2%","(X)","5.8%","(X)","4.4%","(X)","0.0%","(X)","14.1%","(X)","2.3%","(X)"
"    Ability to speak English","5.9%","(X)","5.6%","(X)","5.9%","(X)","0.2%","(X)","1.5%","(X)","2.8%","(X)","3.1%","(X)","11.6%","(X)","1.6%","(X)","7.9%","(X)","5.1%","(X)","4.4%","(X)","4.4%","(X)","2.7%","(X)","11.0%","(X)","5.2%","(X)","9.2%","(X)","4.7%","(X)","12.3%","(X)","7.0%","(X)","5.2%","(X)","4.5%","(X)","1.5%","(X)","7.5%","(X)","5.0%","(X)","8.9%","(X)","2.7%","(X)","4.9%","(X)","2.0%","(X)","4.8%","(X)","0.0%","(X)","8.7%","(X)","11.4%","(X)","5.8%","(X)","6.5%","(X)","8.9%","(X)","14.1%","(X)","2.5%","(X)"
