"","Geography","year","population","prev_year","population_diff","percent_different"
"1","Appling",2000,17396,17323,73,0.421405068406165
"2","Appling",2001,17455,17396,59,0.339158427224649
"3","Appling",2002,17502,17455,47,0.269263821254655
"4","Appling",2003,17732,17502,230,1.3141355273683
"5","Appling",2004,17740,17732,8,0.0451161741484322
"6","Appling",2005,17769,17740,29,0.163472378804961
"7","Appling",2006,17725,17769,-44,-0.247622263492599
"8","Appling",2007,17985,17725,260,1.46685472496474
"9","Appling",2008,18133,17985,148,0.822907978871282
"10","Appling",2009,18144,18133,11,0.0606628798323499
"11","Appling",2010,18261,18144,117,0.64484126984127
"12","Appling",2011,18420,18261,159,0.870708066370954
"13","Appling",2012,18368,18420,-52,-0.282301845819761
"14","Appling",2013,18440,18368,72,0.39198606271777
"15","Appling",2014,18540,18440,100,0.542299349240781
"16","Appling",2015,18454,18540,-86,-0.4638619201726
"17","Appling",2016,18428,18454,-26,-0.140890863769373
"18","Appling",2017,18521,18428,93,0.504666811373996
"19","Appling",2018,18507,18521,-14,-0.0755898709572917
"20","Appling",2019,18386,18507,-121,-0.653806667747339
"21","Appling",2020,18325,18386,-61,-0.331774176003481
"22","Appling",2021,18488,18325,163,0.889495225102319
"23","Appling",2022,18428,18488,-60,-0.324534833405452
"24","Atkinson",2000,7591,7575,16,0.211221122112211
"25","Atkinson",2001,7641,7591,50,0.658674746410223
"26","Atkinson",2002,7748,7641,107,1.40034026959822
"27","Atkinson",2003,7990,7748,242,3.12338668043366
"28","Atkinson",2004,7985,7990,-5,-0.0625782227784731
"29","Atkinson",2005,8096,7985,111,1.39010644959299
"30","Atkinson",2006,8197,8096,101,1.24752964426877
"31","Atkinson",2007,8346,8197,149,1.81773819690131
"32","Atkinson",2008,8366,8346,20,0.239635753654445
"33","Atkinson",2009,8386,8366,20,0.23906287353574
"34","Atkinson",2010,8366,8386,-20,-0.238492725971858
"35","Atkinson",2011,8413,8366,47,0.561797752808989
"36","Atkinson",2012,8284,8413,-129,-1.53334125757756
"37","Atkinson",2013,8290,8284,6,0.0724287783679382
"38","Atkinson",2014,8223,8290,-67,-0.808202653799759
"39","Atkinson",2015,8398,8223,175,2.12817706433175
"40","Atkinson",2016,8273,8398,-125,-1.48844963086449
"41","Atkinson",2017,8342,8273,69,0.834038438293243
"42","Atkinson",2018,8297,8342,-45,-0.539438983457205
"43","Atkinson",2019,8165,8297,-132,-1.59093648306617
"44","Atkinson",2020,8393,8165,228,2.79240661359461
"45","Atkinson",2021,8391,8393,-2,-0.0238293816275468
"46","Atkinson",2022,8183,8391,-208,-2.47884638302944
"47","Bacon",2000,10131,10053,78,0.775887794688153
"48","Bacon",2001,10133,10131,2,0.0197413878195637
"49","Bacon",2002,10101,10133,-32,-0.31579986183756
