"","Census.tract.2010.ID","County.Name","State.Territory","Percent.Black.or.African.American.alone","Percent.American.Indian...Alaska.Native","Percent.Asian","Percent.Native.Hawaiian.or.Pacific","Percent.two.or.more.races","Percent.White","Percent.Hispanic.or.Latino","Percent.other.races","Percent.age.under.10","Percent.age.10.to.64","Percent.age.over.64","Total.threshold.criteria.exceeded","Total.categories.exceeded","Identified.as.disadvantaged.without.considering.neighbors","Identified.as.disadvantaged.based.on.neighbors.and.relaxed.low.income.threshold.only","Identified.as.disadvantaged.due.to.tribal.overlap","Identified.as.disadvantaged","Percentage.of.tract.that.is.disadvantaged.by.area","Share.of.neighbors.that.are.identified.as.disadvantaged","Total.population","Adjusted.percent.of.individuals.below.200..Federal.Poverty.Line..percentile.","Adjusted.percent.of.individuals.below.200..Federal.Poverty.Line","Is.low.income.","Income.data.has.been.estimated.based.on.geographic.neighbor.income","Greater.than.or.equal.to.the.90th.percentile.for.PM2.5.exposure.and.is.low.income.","PM2.5.in.the.air..percentile.","PM2.5.in.the.air","Greater.than.or.equal.to.the.90th.percentile.for.diesel.particulate.matter.and.is.low.income.","Diesel.particulate.matter.exposure..percentile.","Diesel.particulate.matter.exposure","Greater.than.or.equal.to.the.90th.percentile.for.traffic.proximity.and.is.low.income.","Traffic.proximity.and.volume..percentile.","Traffic.proximity.and.volume","Greater.than.or.equal.to.the.90th.percentile.for.DOT.transit.barriers.and.is.low.income.","DOT.Travel.Barriers.Score..percentile.","Greater.than.or.equal.to.the.90th.percentile.for.proximity.to.hazardous.waste.facilities.and.is.low.income.","Proximity.to.hazardous.waste.sites..percentile.","Proximity.to.hazardous.waste.sites","Greater.than.or.equal.to.the.90th.percentile.for.asthma.and.is.low.income.","Current.asthma.among.adults.aged.greater.than.or.equal.to.18.years..percentile.","Current.asthma.among.adults.aged.greater.than.or.equal.to.18.years","Greater.than.or.equal.to.the.90th.percentile.for.diabetes.and.is.low.income.","Diagnosed.diabetes.among.adults.aged.greater.than.or.equal.to.18.years..percentile.","Diagnosed.diabetes.among.adults.aged.greater.than.or.equal.to.18.years","Greater.than.or.equal.to.the.90th.percentile.for.heart.disease.and.is.low.income.","Coronary.heart.disease.among.adults.aged.greater.than.or.equal.to.18.years..percentile.","Coronary.heart.disease.among.adults.aged.greater.than.or.equal.to.18.years","Greater.than.or.equal.to.the.90th.percentile.for.low.life.expectancy.and.is.low.income.","Low.life.expectancy..percentile.","Life.expectancy..years.","Greater.than.or.equal.to.the.90th.percentile.for.low.median.household.income.as.a.percent.of.area.median.income.and.has.low.HS.attainment.","Low.median.household.income.as.a.percent.of.area.median.income..percentile.","Median.household.income.as.a.percent.of.area.median.income","Greater.than.or.equal.to.the.90th.percentile.for.households.in.linguistic.isolation.and.has.low.HS.attainment.","Linguistic.isolation..percent...percentile.","Linguistic.isolation..percent.","Greater.than.or.equal.to.the.90th.percentile.for.unemployment.and.has.low.HS.attainment.","Unemployment..percent...percentile.","Unemployment..percent.","Greater.than.or.equal.to.the.90th.percentile.for.households.at.or.below.100..federal.poverty.level.and.has.low.HS.attainment.","Percent.of.individuals.below.200..Federal.Poverty.Line..percentile.","Percent.of.individuals.below.200..Federal.Poverty.Line","Percent.of.individuals...100..Federal.Poverty.Line..percentile.","Percent.of.individuals...100..Federal.Poverty.Line","Percent.individuals.age.25.or.over.with.less.than.high.school.degree..percentile.","Percent.individuals.age.25.or.over.with.less.than.high.school.degree","Percent.of.residents.who.are.not.currently.enrolled.in.higher.ed","Unemployment..percent..in.2009..island.areas..and.2010..states.and.PR.","Percentage.households.below.100..of.federal.poverty.line.in.2009..island.areas..and.2010..states.and.PR.","Greater.than.or.equal.to.the.90th.percentile.for.unemployment.and.has.low.HS.education.in.2009..island.areas..","Greater.than.or.equal.to.the.90th.percentile.for.households.at.or.below.100..federal.poverty.level.and.has.low.HS.education.in.2009..island.areas..","Greater.than.or.equal.to.the.90th.percentile.for.low.median.household.income.as.a.percent.of.area.median.income.and.has.low.HS.education.in.2009..island.areas.."
"1",13001950100,"Appling County","Georgia",0.02,0,0,0,0,0.94,0.02,0,0.13,0.69,0.17,0,0,"False","False","","False",0,57,3179,0.67,0.32,"True","False","False",35,8.04,"False",8,0.07,"False",6,9.12,"False",70,"False",4,0.02,"False",52,969,"False",69,1210,"False",78,760,"False",71,76.2,"False",45,97,"False",12,0,"False",41,4,"False",59,35,75,20,79,19,97,4,8,"False","False","False"
"2",13001950200,"Appling County","Georgia",0.41,0.01,0,0,0,0.46,0.09,0.03,0.12,0.72,0.14,2,1,"True","False","","True",100,40,4766,0.93,0.57,"True","False","False",35,8.07,"False",10,0.08,"False",23,73.5,"False",76,"False",2,0.02,"False",85,1120,"True",92,1670,"False",84,819,"True",92,72.3,"False",85,60,"False",12,0,"False",17,2,"False",90,60,75,20,90,27,96,7,32,"False","False","False"
"3",13001950300,"Appling County","Georgia",0.14,0,0.01,0,0.01,0.62,0.2,0.1,0.18,0.65,0.16,2,1,"True","False","","True",100,33,5154,0.88,0.5,"True","False","False",34,8.03,"False",14,0.1,"False",33,134.87,"False",58,"False",2,0.01,"False",79,1080,"True",91,1630,"True",95,980,"False",88,73.5,"False",81,64,"False",70,4,"False",66,6,"False",85,54,85,26,94,33,95,1,29,"False","False","False"
"4",13001950400,"Appling County","Georgia",0.24,0,0,0,0.02,0.67,0.06,0.01,0.11,0.65,0.22,0,0,"False","False","","False",0,55,1674,0.62,0.29,"False","False","False",31,7.9,"False",8,0.07,"False",8,12.7,"False",97,"False",3,0.02,"False",60,1000,"False",88,1530,"False",92,919,"False",NA,NA,"False",71,75,"False",12,0,"False",56,5,"False",61,36,74,19,85,23,93,3,10,"False","False","False"
"5",13001950500,"Appling County","Georgia",0.08,0,0,0,0,0.86,0.03,0.01,0.13,0.68,0.17,0,0,"False","False","","False",0,80,3667,0.7,0.34,"True","False","False",33,7.98,"False",7,0.07,"False",7,10.15,"False",63,"False",3,0.02,"False",52,969,"False",75,1280,"False",79,770,"False",85,74.2,"False",76,70,"False",30,0,"False",15,2,"False",68,40,79,22,71,15,93,7,16,"False","False","False"
"6",13003960100,"Atkinson County","Georgia",0.13,0,0,0,0,0.55,0.31,0.06,0.08,0.74,0.17,4,2,"True","False","","True",100,57,2119,0.9,0.53,"True","False","False",34,8.02,"False",8,0.07,"False",25,82.53,"True",93,"False",8,0.04,"False",82,1100,"True",91,1639,"True",91,900,"True",91,72.7,"False",89,54,"False",83,8,"False",78,7,"False",87,57,83,25,96,37,96,6,20,"False","False","False"
"7",13003960200,"Atkinson County","Georgia",0.24,0,0,0,0,0.51,0.23,0.07,0.17,0.7,0.12,0,0,"False","False","","False",0,80,4687,0.85,0.47,"True","False","False",31,7.9,"False",8,0.07,"False",24,77.35,"False",88,"False",10,0.05,"False",75,1060,"False",86,1480,"False",81,790,"False",78,75.3,"False",79,67,"False",82,7,"False",85,9,"False",83,52,88,29,94,33,94,8,27,"False","False","False"
"8",13003960300,"Atkinson County","Georgia",0.01,0.05,0,0,0,0.74,0.19,0,0.14,0.74,0.1,1,1,"True","False","","True",100,71,1433,0.91,0.54,"True","False","False",28,7.77,"False",7,0.07,"False",8,12.59,"False",61,"False",8,0.04,"False",73,1050,"False",84,1430,"False",88,860,"False",75,75.7,"False",79,67,"False",77,6,"False",6,1,"True",87,56,95,39,87,24,97,11,43,"False","False","False"
"9",13005970100,"Bacon County","Georgia",0,0,0,0,0.01,0.9,0.07,0,0.09,0.73,0.16,1,1,"True","False","","True",100,57,2737,0.78,0.4,"True","False","False",31,7.89,"False",8,0.07,"False",4,4.32,"False",34,"False",4,0.02,"False",49,960,"False",69,1220,"False",74,730,"True",90,73,"False",71,74,"False",58,2,"False",1,0,"False",72,43,82,24,55,11,97,4,12,"False","False","False"
"10",13005970201,"Bacon County","Georgia",0.15,0,0,0,0.05,0.75,0.03,0.02,0.21,0.63,0.14,1,1,"True","False","","True",100,66,4424,0.81,0.42,"True","False","False",30,7.87,"False",9,0.08,"False",19,50.91,"False",44,"False",5,0.03,"False",73,1050,"False",88,1530,"True",91,900,"False",89,73.2,"False",66,79,"False",12,0,"False",72,7,"False",79,48,79,22,72,16,94,12,18,"False","False","False"
